"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_UK_72hpi_child_Infected-Ciliated_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000101966",0.0109278526422913,0.586639293527679,5,0,-0.201376297839473,1,1
"ENSG00000160055",0.0203399423493094,1,8,0,0.201223302528071,1,0.833333333333333
"ENSG00000141741",4.40172626253102e-10,3.0543844840492e-10,3,1,0.201210284335173,1,1
"ENSG00000206562",0.00335213916124532,0.0410008782205625,5,1,-0.201175130826717,1,1
"ENSG00000146733",0.00671658888631346,1,5,0,-0.201127522038704,1,1
"ENSG00000158163",0.000169092597187107,1,3,0,-0.2009673073027,1,1
"ENSG00000072310",0.00632490748325153,0.307627935764877,4,0,-0.200399926970064,1,1
"ENSG00000135002",0.00597296091803399,0.156745293318133,4,0,0.200134217541058,1,1
"ENSG00000010030",0.000116618671245796,1,8,0,-0.200103722666625,1,1
"ENSG00000100445",0.000156211756872125,1,7,0,0.199999998628669,1,1
"ENSG00000140939",8.16044694010422e-05,1,5,0,-0.199584866218993,1,1
"ENSG00000134326",0.000158963868187736,0.139699495722,3,0,-0.199145810526791,1,1
"ENSG00000048991",0.0202570496255652,1,4,0,-0.199035603363197,1,1
"ENSG00000015475",3.7217937823314e-07,1,5,0,-0.199032863417936,1,1
"ENSG00000166046",0.012047946385215,0.0296836640825927,3,1,0.198899819942804,1,1
"ENSG00000118307",0.00330458492834347,1,6,0,0.19871733813748,1,0.833333333333333
"ENSG00000198563",6.75460161760604e-28,1,6,0,-0.198249777153167,1,1
"ENSG00000165525",0.00377789872252556,0.0231449310343734,6,1,-0.198009177875368,1,1
"ENSG00000171695",0.0318941817717951,0.99521995754497,5,0,-0.197802197738042,1,1
"ENSG00000276170",2.19376909015138e-15,0.513957013764588,8,0,0.19751912408612,1,1
"ENSG00000167685",0.000113205355519015,1,5,0,0.197311160991842,1,1
"ENSG00000127314",3.72488624992849e-29,1,4,0,0.19717548257314,1,1
"ENSG00000114942",5.93694270291799e-185,4.07424607646154e-101,3,1,-0.196881223388059,1,1
"ENSG00000105856",2.53270961336763e-10,0.163792075064362,5,0,-0.196816576873547,1,1
"ENSG00000174547",1.39419282242235e-06,6.09162006443585e-07,3,1,-0.196764721508202,1,1
"ENSG00000146457",1.16368541312705e-05,0.00402898900037649,8,1,-0.19663061467632,1,1
"ENSG00000237945",0.0019029359713043,0.136775400627973,3,0,-0.196615320848803,1,1
"ENSG00000250571",0.00112513464843515,0.00479471298678932,4,1,0.196432910534436,1,1
"ENSG00000117308",3.18871515319917e-10,0.100846081748435,5,0,0.196387845548894,1,1
"ENSG00000140274",0.0273558457287481,0.0111706143443851,3,2,-0.196102632731378,1,1
"ENSG00000130177",0.0167636301822778,0.00536705042656244,3,1,0.196005888954386,1,1
"ENSG00000167460",1.69224973693961e-10,0.00516697614276575,6,1,0.195405988460645,1,1
"ENSG00000103942",6.74366228569322e-07,9.0929349926722e-05,4,1,0.195328506300253,1,1
"ENSG00000184047",1.96809919729763e-05,0.190460167104235,6,0,-0.195188456212374,1,1
"ENSG00000100897",0.00409696512799754,1,9,0,-0.195121538846419,1,1
"ENSG00000100221",6.49085564214344e-07,1,5,0,0.194746065234886,1,1
"ENSG00000114383",6.10540502217312e-06,1,5,0,0.194464897262388,1,1
"ENSG00000142046",0.00368220578972339,1,12,0,-0.193814358347246,1,1
"ENSG00000137767",2.69995644124101e-14,1,4,0,-0.193379279574511,1,1
"ENSG00000213096",0.000136783827851811,0.193334672693451,8,0,-0.193367371188366,1,1
"ENSG00000143870",2.25006322281702e-33,1,3,0,0.193115749958581,1,1
"ENSG00000042753",2.25992908275173e-13,1.57935501265499e-14,3,1,-0.19309977544923,1,1
"ENSG00000125445",7.98244330662979e-27,1,4,0,-0.19237786716863,1,1
"ENSG00000169764",1.43328274964391e-10,1,4,0,-0.192377743726394,1,1
"ENSG00000005175",0.00990298486516106,1,6,0,0.19193523215243,1,1
"ENSG00000185347",0.00152465883827986,1,6,0,0.191495421552697,1,1
"ENSG00000108846",0.00384369599757546,0.645512966563281,6,0,0.191488013694148,1,1
"ENSG00000205571",0.0331426915759642,1,6,0,0.191243218461798,1,1
"ENSG00000105835",3.96856828019003e-05,8.31473693876946e-06,3,2,-0.190515606079937,1,1
"ENSG00000134851",7.99122735704862e-13,2.20862182735301e-11,4,1,0.190364714132057,1,1
"ENSG00000182670",2.34795823726187e-20,0.00250519263967169,9,1,0.190092781982863,1,1
"ENSG00000175582",2.66352633046792e-06,1,5,0,-0.189873539338797,1,1
"ENSG00000072803",0.0391327910992461,0.35518192773882,8,0,-0.188923300889088,1,1
"ENSG00000135655",7.90626802640559e-10,1,9,0,0.18888896106357,1,1
"ENSG00000113282",0.00103801291903894,0.145620437322716,6,0,0.188475589266051,1,1
"ENSG00000141504",3.17025220014439e-13,1,5,0,-0.188235294117647,1,1
"ENSG00000067182",0.00014564134051115,0.017958521620739,3,1,-0.187947900359464,1,1
"ENSG00000124383",0.0411225829289993,1,3,0,0.187932657616116,1,1
"ENSG00000133104",2.41572954536012e-05,0.0108359321131513,10,1,0.187730398496834,1,1
"ENSG00000107262",0.00260034697113932,0.110456464254053,5,0,-0.18759951700634,1,1
"ENSG00000162600",0.0261839158884416,0.85614096016748,5,0,-0.18750049238764,1,1
"ENSG00000174720",1.02314614870994e-21,1,11,0,-0.187334021255011,1,1
"ENSG00000136802",0.00250205244118038,0.200488065975621,3,0,0.187074036607858,1,1
"ENSG00000177885",4.32758958232505e-05,1,3,0,-0.186620049756729,1,1
"ENSG00000149483",0.00126309770595108,1,4,0,-0.18602912954357,1,1
"ENSG00000176155",0.000204356178713566,0.219755473463198,5,0,0.185826197593224,1,1
"ENSG00000131100",6.84294348898624e-06,0.00358449896820534,3,1,0.185285737164591,1,1
"ENSG00000111912",1.55914334652841e-13,0.000264213531583442,4,1,-0.185195392207721,1,1
"ENSG00000185236",1.0947775622202e-07,1,3,0,0.184442270200436,1,1
"ENSG00000077150",4.74635526574739e-06,0.547858137695777,8,0,0.184181803565751,1,1
"ENSG00000171604",1.39627813162474e-43,1.30165094791851e-06,7,1,-0.184026373806674,1,1
"ENSG00000171314",1.13420208704894e-54,1,4,0,-0.183829334087798,1,1
"ENSG00000151689",1.50363983029616e-22,1,10,0,-0.183478624044789,1,1
