"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_VIC01_72hpi_child_Infected-Ciliated_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000034239",0.000137528616641342,1,8,0,0.101248419356962,1,1
"ENSG00000130255",1.17758337283018e-17,1,4,0,0.100836572258799,1,1
"ENSG00000164081",2.39532430081704e-06,1,4,0,-0.100097335718231,1,1
"ENSG00000102316",5.00113241824409e-26,1,6,0,0.100042743619838,1,1
"ENSG00000117748",0.0204996365315106,1,3,0,-0.0999663605458902,1,1
"ENSG00000111237",0.00330752935860507,1,3,0,0.0999269065669429,1,1
"ENSG00000091640",0.000560687480190453,0,2,2,-0.099839059634884,1,1
"ENSG00000125877",0.000443913693455579,1,5,0,0.0997253584399339,1,1
"ENSG00000132254",3.26251510633404e-08,1,6,0,-0.0994480452221233,1,1
"ENSG00000100926",0.00615612959333562,1,4,0,0.0991031060113077,1,1
"ENSG00000143420",3.93339512627541e-08,1,3,0,-0.0987972473864187,1,1
"ENSG00000239779",0.0410219738400249,1,5,0,0.0987851209854304,1,1
"ENSG00000100906",0.0161508307997721,0,2,2,-0.0984469346106038,1,1
"ENSG00000170345",3.66160514202233e-17,1,4,0,-0.0982429853826671,1,1
"ENSG00000161677",0.000555560831721784,1,4,0,0.098048634784401,1,1
"ENSG00000102103",0.00244175412409227,1,6,0,0.0979246186792815,1,1
"ENSG00000129187",0.00902628179677953,1,6,0,0.097834375848318,1,1
"ENSG00000172053",0.0107809193146455,1,4,0,-0.0967489701198523,1,1
"ENSG00000137309",9.70192922084006e-11,1,6,0,-0.0966861947647329,1,1
"ENSG00000265972",1.74270299843274e-10,1,3,0,-0.0965503561354141,1,1
"ENSG00000140299",0.0131308601896167,1,4,0,-0.0962915619891614,1,1
"ENSG00000153113",0.0090462496489805,1,9,0,0.0961741954473612,1,1
"ENSG00000053371",5.23342894100411e-16,1,3,0,0.0960553347093329,1,1
"ENSG00000175826",0.0227789376949354,0.801987816813199,4,0,-0.095948060411574,1,1
"ENSG00000106211",1.23881926479438e-35,1,3,0,-0.0947836864229007,1,1
"ENSG00000165609",2.52704229423724e-05,0,2,2,-0.0945027275583057,1,1
"ENSG00000167779",0.0106264423387363,0,2,2,0.0944547930898461,1,1
"ENSG00000152795",2.25819572646083e-08,1,4,0,-0.0944424452914947,1,1
"ENSG00000115073",0.00404141660105846,1,3,0,0.094215288990041,1,1
"ENSG00000121578",1.35527575400313e-06,1,6,0,-0.0939073345528644,1,1
"ENSG00000148120",0.000139303817697629,1,5,0,-0.0934502665477802,1,1
"ENSG00000166136",2.03231155875864e-16,1,4,0,0.0934032991919617,1,1
"ENSG00000185201",6.18092662668318e-07,1,4,0,0.0924174689134307,1,1
"ENSG00000166295",0.004856719647013,1,5,0,0.0922559155052523,1,1
"ENSG00000016864",0.000393201405908738,1,8,0,0.092074241550738,1,1
"ENSG00000138069",0.00251889376320224,1,5,0,0.091997095645683,1,1
"ENSG00000088682",8.75065311198885e-08,1,4,0,0.0914446501524658,1,1
"ENSG00000205420",1.27116744239877e-56,1,3,0,-0.0911783848835338,1,1
"ENSG00000181061",3.94724790766831e-06,1,3,0,0.0910674338710018,1,1
"ENSG00000176014",2.06081149400415e-05,1,3,0,0.0909919650711483,1,1
"ENSG00000180228",0.00478152409667114,1,3,0,-0.0904186212836225,1,1
"ENSG00000114353",0.00137388788850275,1,3,0,0.0902675330005462,1,1
"ENSG00000115204",8.16210616858642e-06,1,4,0,-0.0898290426678799,1,1
"ENSG00000153310",0.0171328376132829,1,12,0,-0.089697469201062,1,1
"ENSG00000164172",0.000345618955306369,1,4,0,0.0895493859618413,1,1
"ENSG00000111906",0.00125913692387493,1,6,0,0.0894749340077884,1,1
"ENSG00000117139",0.000897505921243417,1,3,0,0.0893403713195726,1,1
"ENSG00000181625",0.0387483214015518,1,3,0,-0.0892397559919536,1,1
"ENSG00000085063",2.46228971691095e-24,1,7,0,0.0891161328936748,1,1
"ENSG00000072210",9.98540297320619e-07,1,10,0,-0.088700920224585,1,1
"ENSG00000119673",3.42383664692555e-05,1,5,0,0.0886085813387249,1,1
"ENSG00000132475",2.12583755792671e-11,1,3,0,0.0885232670195713,1,1
"ENSG00000235162",1.85217820282604e-05,1,3,0,0.0884225887824364,1,1
"ENSG00000057149",7.99663934113028e-37,0,2,2,0.0880427842355987,1,1
"ENSG00000109971",2.35275878196243e-18,1,4,0,-0.0880320142386761,1,1
"ENSG00000183735",0.0173385888880183,1,7,0,0.0871204155758355,1,1
"ENSG00000114638",1.23531136802802e-07,1,3,0,0.0869750033503299,1,1
"ENSG00000153037",1.91054174566212e-08,1,4,0,-0.0868637413425866,1,1
"ENSG00000099330",0.00365259821231742,1,5,0,0.0868204770530893,1,1
"ENSG00000145687",0.015430275334997,1,5,0,0.086699744986087,1,1
"ENSG00000160799",3.80637118188755e-07,1,5,0,0.0858401834486053,1,1
"ENSG00000198563",1.0036827547214e-08,1,4,0,0.0854896591649954,1,1
"ENSG00000102898",1.17715515572318e-06,1,5,0,0.0854626774119614,1,1
"ENSG00000126602",0.0194439715628875,1,3,0,-0.0851439024236365,1,1
"ENSG00000175193",0.000468638849721608,1,4,0,0.085091897480269,1,1
"ENSG00000109062",4.10120785457103e-13,1,4,0,-0.0847212611279752,1,1
"ENSG00000135373",5.04894234257094e-09,1,6,0,-0.0845971516008264,1,1
"ENSG00000123992",0.0132575657070134,1,7,0,0.0845466072999465,1,1
"ENSG00000170545",0.000213124587699151,1,4,0,-0.0844920986525316,1,1
"ENSG00000128272",0.000129689950104061,1,4,0,0.0843606547912318,1,1
"ENSG00000175183",6.97921187612954e-13,1,5,0,-0.0839019073449824,1,1
"ENSG00000087077",1.99275405989065e-10,1,4,0,-0.0837475325273977,1,1
"ENSG00000104823",3.4425534962871e-09,0,2,2,0.0836958891111899,1,1
"ENSG00000183011",0.0349174405586359,1,5,0,-0.0836091507327538,1,1
