"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_UK_72hpi_child_Infected-Secretory_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000196118",0.037358092913937,0.110511523206197,10,0,0.303921402461239,1,0.833333333333333
"ENSG00000136021",0.00192280723148086,0.164967840439136,4,0,0.303819732306617,1,1
"ENSG00000048991",0.0269111316890667,0.272855444372879,3,0,-0.303733419232401,1,1
"ENSG00000167685",0.00127432209571073,0.239727696717576,4,0,0.30275639145484,1,1
"ENSG00000074964",0.0215002466965945,1,3,0,-0.302729399093467,0.833333333333333,0.833333333333333
"ENSG00000104960",0.0150303467555825,0.313030944800941,5,0,0.301960638145323,1,1
"ENSG00000105698",7.79037287159908e-07,1,4,0,0.301886793015508,1,1
"ENSG00000173812",6.81163983834905e-82,1.90681051179677e-65,4,1,-0.301164266667912,1,1
"ENSG00000173264",2.04872399129177e-06,1,9,0,-0.301157359594971,1,0.833333333333333
"ENSG00000106635",4.03501765795113e-06,0.0485267041619528,8,1,0.30059600373248,1,1
"ENSG00000156256",0.000775242046948478,1,6,0,-0.300552009180016,1,1
"ENSG00000105287",0.000169596372500608,1,8,0,-0.300001744962602,1,0.833333333333333
"ENSG00000119383",0.0390481229070232,1,5,0,0.300000000000958,1,0.666666666666667
"ENSG00000166181",0.00230176300992835,0.0933216552576527,5,0,-0.299500267092742,1,1
"ENSG00000005486",2.01114293282033e-05,0.0426125103034288,6,1,0.299278103687523,1,1
"ENSG00000183273",0.0474828715149745,0.0845628326434375,4,0,0.298837344757829,1,1
"ENSG00000177989",1.56911116690779e-12,5.77163498020072e-08,9,1,0.297891501644424,1,1
"ENSG00000132680",0.00100952015420886,0.0776965207022399,3,0,0.297628519004467,1,1
"ENSG00000142046",0.000747734189784325,0.543371049671096,11,0,-0.297555035517191,1,0.833333333333333
"ENSG00000204711",2.13866626046165e-05,8.30233834941986e-06,6,1,0.296914228501201,1,1
"ENSG00000104231",1.09861661741254e-06,1,9,0,0.296424352359363,1,1
"ENSG00000214530",0.02477071719197,0.211030800848837,5,0,0.296122354819957,1,0.833333333333333
"ENSG00000055211",0.00511631752594692,0,2,2,-0.295957875756902,1,1
"ENSG00000186654",0.00199633220323168,1,4,0,-0.295386114557661,1,1
"ENSG00000164953",0.00681908990284034,1,5,0,0.295295883688135,1,1
"ENSG00000149182",3.20307348353027e-05,0.250687358490559,10,0,-0.294620172636902,1,1
