"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_UK_72hpi_child_Infected-Basal_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000177628",0.0127324266430026,0.00848804816789142,3,1,0.641003394245701,1,1
"ENSG00000170017",1.09384766900992e-10,2.74505558058034e-05,5,1,0.640012678524743,1,1
"ENSG00000138777",6.02583812584459e-18,3.7398173475359e-13,4,1,-0.638297415190322,1,1
"ENSG00000185246",0.00012586234106146,1,4,0,0.636703569628024,1,0.666666666666667
"ENSG00000132424",9.63988923639271e-58,1.71798659155391e-07,10,1,0.635801243566066,1,1
"ENSG00000067082",3.45195273166019e-14,6.93732791019939e-11,4,2,-0.635552874202146,1,1
"ENSG00000144645",0.000703312754196334,0.155925253615566,4,0,0.635448314031507,1,1
"ENSG00000123240",1.15498502169703e-76,0.00348910915592961,8,1,-0.63516802001572,1,1
"ENSG00000138442",9.96817940346621e-12,0.228642726646294,4,0,0.634505947662232,1,0.833333333333333
"ENSG00000175115",2.6575463066338e-11,1,3,0,-0.633969556456222,1,1
"ENSG00000183889",1.79295229210486e-12,0.225245173436729,7,0,-0.633332683679575,1,0.833333333333333
"ENSG00000138286",0.000175882645799603,1,5,0,0.633011788968953,1,0.833333333333333
"ENSG00000117394",2.50830904396238e-12,0.000138101249256785,3,2,0.632974798408459,1,1
"ENSG00000187118",4.5817205960958e-39,0.0189990663023225,5,1,-0.632827253109595,1,1
"ENSG00000169375",8.1544436571435e-07,1,4,0,0.632228596007046,1,1
"ENSG00000141279",0.000587012121939808,1,4,0,0.631968738355648,0.833333333333333,0.666666666666667
"ENSG00000177963",3.765677664759e-15,0.0311734366440199,6,1,-0.631486084844459,1,1
"ENSG00000112855",0.00296276623436785,0.162827074241513,3,0,0.631389548868452,1,0.833333333333333
"ENSG00000177595",0.0485384276463349,0.431289046999756,3,0,0.63003239783407,0.833333333333333,0.666666666666667
"ENSG00000196312",5.98220133278412e-12,1,7,0,-0.629207473012706,1,1
"ENSG00000116299",6.19578442162389e-10,1,5,0,0.628129201566401,1,0.5
"ENSG00000099810",4.7991970376841e-07,1,3,0,0.628120708532075,1,1
"ENSG00000108468",5.7564823001952e-09,0,2,2,0.627561548538974,1,1
"ENSG00000185009",0.00163379225609496,0.24329185616361,3,0,0.626878926271193,1,1
"ENSG00000087008",0.000659377409823872,1,6,0,-0.626757960578049,1,0.666666666666667
"ENSG00000122877",1.5497862277783e-05,0.0391842052000283,4,1,0.625787554031028,1,0.833333333333333
"ENSG00000128923",1.04446442533424e-08,2.02577852306461e-06,3,1,-0.62499999507153,1,1
"ENSG00000079462",4.07631997387303e-53,3.40002201586228e-19,4,1,-0.624942407897496,1,1
"ENSG00000120709",0.000973749168194713,0.000965497139573137,3,1,-0.623623978567315,1,0.833333333333333
"ENSG00000096063",0.00412430296495281,0.0204006427372098,3,1,-0.623071223584043,0.833333333333333,0.833333333333333
"ENSG00000161526",2.42583929162511e-05,1,7,0,0.620723909031031,1,1
"ENSG00000110446",7.18249223249347e-06,0.424173808769343,6,0,0.620037583227585,1,0.666666666666667
"ENSG00000168256",0.00361678183964171,0.00354912708628016,5,1,-0.619894339254568,1,0.833333333333333
"ENSG00000101928",0.00781671408194354,1,3,0,-0.618285501863892,1,0.833333333333333
