"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_UK_72hpi_child_Infected-Basal_UK_72hpi_adult_Infected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000138744"	"ENSG00000138744"	1.34009718343297e-10	2.18206378117541e-06	4	1	-0.696516365237819	1	0.833333333333333
"ENSG00000173085"	"ENSG00000173085"	6.7502943195998e-07	2.58706292448447e-06	3	1	0.463182525808954	1	1
"ENSG00000138069"	"ENSG00000138069"	5.17250683543327e-06	2.80756355998455e-06	4	2	0.261641861270907	1	1
"ENSG00000126581"	"ENSG00000126581"	1.65615370858117e-15	2.84150026162181e-06	5	2	-0.420096129201653	1	1
"ENSG00000119979"	"ENSG00000119979"	3.52452699910562e-06	2.9176256884338e-06	4	2	0.522635024594577	1	1
"ENSG00000019582"	"ENSG00000019582"	1.89117072200382e-06	3.04416499034168e-06	4	1	0.642192185796246	1	1
"ENSG00000160789"	"ENSG00000160789"	1.70291637644775e-20	3.22098815067972e-06	4	1	-0.25095951571331	1	1
"ENSG00000213246"	"ENSG00000213246"	8.71212178371059e-09	3.36531096525418e-06	4	1	0.263595303124756	1	1
"ENSG00000163565"	"ENSG00000163565"	1.95056380199601e-27	4.13342000603095e-06	11	1	0.235892041601935	1	1
"ENSG00000160767"	"ENSG00000160767"	2.82904370747105e-08	4.21154683628444e-06	6	1	0.665780753689456	1	0.833333333333333
"ENSG00000176014"	"ENSG00000176014"	1.98526578184257e-06	4.37283149408499e-06	3	1	-0.278969207060132	1	1
"ENSG00000140416"	"ENSG00000140416"	8.93787849076574e-24	4.38161901155189e-06	5	1	0.443335183493515	1	1
"ENSG00000116212"	"ENSG00000116212"	5.93689440972658e-11	4.94722910959602e-06	7	1	0.312257562827881	1	1
"ENSG00000213145"	"ENSG00000213145"	5.30946964789004e-05	5.18251355547887e-06	4	2	0.240259318023016	1	1
"ENSG00000140395"	"ENSG00000140395"	1.73639118183438e-06	6.02854746400819e-06	3	2	0.259633043849932	1	1
"ENSG00000177030"	"ENSG00000177030"	1.50557057370031e-12	6.62102475195536e-06	7	1	-0.563714868355485	1	1
"ENSG00000160113"	"ENSG00000160113"	9.67941627607809e-68	7.00329436670707e-06	4	1	0.759957145308674	1	0.833333333333333
"ENSG00000107581"	"ENSG00000107581"	1.1163705450166e-08	7.3174709347711e-06	6	1	0.453242705708545	1	1
"ENSG00000167900"	"ENSG00000167900"	8.54067254592917e-08	8.97141463345181e-06	4	1	-0.561184194624493	1	1
"ENSG00000171206"	"ENSG00000171206"	6.10543050345921e-11	9.40629348089448e-06	3	2	-0.916904762749195	1	0.833333333333333
"ENSG00000126653"	"ENSG00000126653"	9.29264272057127e-05	9.50922634258141e-06	5	1	0.403461516304794	1	1
"ENSG00000172785"	"ENSG00000172785"	4.11842514239698e-25	1.01416686871919e-05	8	1	0.372092771027856	1	1
"ENSG00000179094"	"ENSG00000179094"	1.80866302349105e-36	1.06045960226201e-05	9	2	-0.369230769230714	1	1
"ENSG00000130826"	"ENSG00000130826"	4.4145714674092e-10	1.15983474280944e-05	3	1	0.444778109260119	1	1
"ENSG00000039068"	"ENSG00000039068"	4.84378867868492e-10	1.33243840274489e-05	4	1	0.676093383878311	1	1
"ENSG00000108244"	"ENSG00000108244"	1.27653473126087e-17	1.368572157616e-05	4	1	-0.22123251709715	1	1
"ENSG00000070476"	"ENSG00000070476"	7.23573458567161e-05	1.46645403820564e-05	3	2	0.650809253191914	1	1
"ENSG00000130312"	"ENSG00000130312"	0.000121921701264632	1.58089006431448e-05	3	2	-0.217990828095693	1	1
"ENSG00000114638"	"ENSG00000114638"	1.38599543746787e-06	1.62906031891444e-05	3	1	-0.284395847883515	1	1
"ENSG00000186395"	"ENSG00000186395"	2.94209609552415e-12	2.00337963178909e-05	5	1	0.264742203232616	1	1
"ENSG00000131089"	"ENSG00000131089"	8.20982488704309e-08	2.10345663009151e-05	3	1	0.885215514102062	1	0.666666666666667
"ENSG00000131844"	"ENSG00000131844"	4.86634648687429e-10	2.13763715672576e-05	5	1	0.704655097126473	1	1
"ENSG00000079974"	"ENSG00000079974"	1.55627160042805e-18	2.19136215685841e-05	6	1	-0.468999067833448	1	1
