"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_UK_72hpi_adult_Infected-Ciliated_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000110841",1.36505678765146e-06,2.11361891008434e-05,4,2,-0.402684137698477,1,1
"ENSG00000147789",3.23445160058023e-08,1,9,0,-0.402513063151439,1,1
"ENSG00000177427",2.00227469259783e-08,0.0001330912766506,5,1,-0.402191605429133,1,1
"ENSG00000170477",9.16154746948917e-94,3.99267623957201e-59,5,1,-0.402114539089531,1,1
"ENSG00000132670",0.000400532495273629,0.122351099753101,4,0,-0.401834036574845,1,1
"ENSG00000276850",3.42156599949355e-07,0.0581461374388541,5,0,-0.401080656166226,1,1
"ENSG00000198466",0.000393347504066955,0,2,2,0.401003188664522,1,1
"ENSG00000230513",0.0118607832543466,0.0553203634190775,3,0,-0.400529991082943,1,0.833333333333333
"ENSG00000187054",0.00129207461956668,0.00157754072785046,3,1,-0.400093767589912,1,1
"ENSG00000100364",1.08690078075996e-09,0.00725161754378822,4,1,-0.399613738862347,1,1
"ENSG00000142188",6.5547920364618e-07,0.0072571587308843,3,1,-0.398863785656067,1,1
"ENSG00000172493",6.96603352338483e-05,1,5,0,-0.398784324185356,1,0.833333333333333
"ENSG00000160695",0.00882629042569469,0.0151458987492279,3,1,-0.398690545076878,1,1
"ENSG00000101310",3.10664384569819e-10,0.0989936400680415,7,0,0.398664020446427,1,1
"ENSG00000173889",0.000503617021060567,0.761916298528828,4,0,-0.397710363460603,1,1
"ENSG00000177981",0.00492724110048599,0.000777032843240201,3,2,0.397438140263595,1,1
"ENSG00000067225",2.70380417520513e-262,1,4,0,-0.397039456809452,1,1
"ENSG00000001084",7.90371480482146e-42,1,7,0,0.396943207409284,1,1
"ENSG00000126903",0.0352736801959668,0.00829874443758064,3,2,-0.396702649220895,1,1
"ENSG00000278259",3.71692822309896e-16,0.273740479756046,6,0,-0.396688386134162,1,1
"ENSG00000155868",6.32631243449796e-09,1.25552171023901e-05,3,1,-0.395994401899821,1,1
"ENSG00000173163",0.0103945519397178,1,3,0,-0.395744855656185,1,1
"ENSG00000102805",0.000742891047938243,0.067502779559717,5,0,0.395143206598515,1,1
"ENSG00000004897",0.0138155358505344,1,4,0,0.394524512808577,1,1
"ENSG00000032444",1.87790858622545e-12,1,8,0,0.393940608150641,1,1
"ENSG00000035681",3.2831088032586e-06,0.404976372494381,7,0,0.393939188973103,1,1
"ENSG00000012822",1.72620770226816e-10,0.0243879513767827,7,1,0.39351351666996,1,1
"ENSG00000163374",0.000117735218353297,0.0353846356367691,5,1,-0.393092789338886,1,0.833333333333333
"ENSG00000141452",0.00262343729769367,0.0237113352803049,6,1,-0.392857544166069,1,1
"ENSG00000157601",6.86654537158113e-37,5.70464623856290e-11,6,1,-0.392741358398496,1,1
"ENSG00000122026",2.03764862350884e-310,3.60938841091842e-205,3,1,-0.392695549068927,1,1
"ENSG00000136802",1.35545477917058e-05,0.000323501414097746,3,1,0.392389549919331,1,1
"ENSG00000182004",0.0011326694036858,0.302792251080667,3,0,-0.392231483721749,1,1
"ENSG00000197879",0.00184923018375806,0.00295200116701411,4,1,-0.391826301398351,1,1
"ENSG00000148719",4.98921098179425e-20,1.93828607651383e-06,7,1,0.391168946128939,1,1
"ENSG00000130413",0.0328856460452081,0.0924286712232206,3,0,0.390386584707959,1,1
"ENSG00000165533",0.00127726864342488,0.202412509458246,5,0,0.390243386957672,1,1
"ENSG00000103044",0.000974194744977832,0.0312441647850654,3,1,-0.389898389146759,1,1
"ENSG00000167693",0.0079102173718518,0.0102637383436667,3,1,-0.389855652946944,1,1
"ENSG00000168818",1.46367726729422e-10,0.0480038802491965,3,1,0.389218700494321,1,1
"ENSG00000104980",0.00047012050900566,0.146503539643618,3,0,0.389168000514415,1,1
"ENSG00000110987",0.00134308135766751,0.14579943128598,3,0,-0.38888894437698,1,1
"ENSG00000157978",6.38937193895717e-11,1,3,0,-0.388560207337053,1,1
"ENSG00000196684",0.0012138765491899,0.0952672892087344,6,0,-0.388375949701294,1,1
"ENSG00000149084",6.10294912941866e-22,6.53026427849284e-07,5,1,0.388052864482579,1,1
"ENSG00000050165",0.0111850112556955,0,2,2,-0.38801548721275,1,1
"ENSG00000144560",2.70127458869638e-34,1,7,0,0.387755100174118,1,1
"ENSG00000243725",0.000903948167653041,0.00218183276097363,3,1,0.38770793264145,1,1
"ENSG00000163520",1.99646256887824e-05,0.000417748959476753,3,1,-0.387106153721328,1,1
"ENSG00000166164",3.49772588787273e-39,2.76762054835807e-09,7,1,-0.386531275761347,1,1
"ENSG00000121289",0.00020478991273797,0.0181692989990483,3,1,0.386458532874149,1,1
"ENSG00000203985",7.1243508940304e-12,0.125633853498912,9,0,0.386033051320211,1,1
"ENSG00000198039",0.0109992773765158,0.533347759451608,4,0,0.385985601831108,1,0.833333333333333
"ENSG00000168026",7.85768231779359e-05,1,5,0,0.385893333333396,1,1
"ENSG00000238142",0.000100716347996083,2.89264305822864e-05,4,2,-0.385780121858071,1,1
"ENSG00000111142",2.32896676720411e-15,3.72102168485459e-07,5,1,-0.385122740860178,1,1
