"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Goblet_UK_72hpi_adult_Infected-Goblet_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000225470",0.000841909435106098,1,9,0,0.331130085636053,1,1
"ENSG00000170291",0.00276437708009633,1,12,0,0.321039433558424,1,0.6
"ENSG00000108679",0.00103440958083209,0.000318437843287771,3,2,-0.316617371218538,1,1
"ENSG00000147889",3.35259844683095e-27,0.752441277108516,13,0,0.315091062057367,1,1
"ENSG00000196141",0.00473680615149837,1,12,0,-0.312499999254555,1,0.8
"ENSG00000146282",0.00331901223932145,1,7,0,-0.31019975906296,1,1
"ENSG00000152795",4.76151611405269e-05,1,5,0,-0.30724354917494,1,1
"ENSG00000129625",3.65089119824422e-06,0.0348414059633652,4,1,0.306651474964515,1,1
"ENSG00000065054",0.00923167417353705,1,8,0,-0.305998373118833,1,1
"ENSG00000167526",0.00054234409685576,0.00569484543627071,7,1,0.303571083719148,1,1
"ENSG00000123159",1.21612405124971e-09,1,9,0,-0.30155571160692,1,1
"ENSG00000176788",0.000534367072219324,1,4,0,0.299871907385456,1,1
"ENSG00000274265",0.0453491043158212,1,8,0,0.294117647058823,1,1
"ENSG00000171867",0.0307024144698144,1,3,0,0.293759987699023,1,1
"ENSG00000166145",1.43108528656891e-09,0.4557378273587,10,0,0.285487308877419,1,1
"ENSG00000154582",0.0153655699173342,0.824603409019304,8,0,0.283339426071433,1,1
"ENSG00000245532",7.55820256095003e-05,0.00223299769952216,4,2,0.282034644308023,1,1
"ENSG00000128463",0.00705194210077082,0.601527637411143,5,0,-0.279226935583864,1,1
"ENSG00000132581",0.0166044794307493,1,8,0,-0.278927935377322,1,1
"ENSG00000158315",0.0199664254815768,1,7,0,-0.276513844921042,1,1
"ENSG00000148120",0.000175517901360609,0.409709029218529,11,0,-0.274985041804066,1,1
"ENSG00000270647",0.0469228372899463,1,7,0,0.273917491879271,1,1
"ENSG00000165949",0.000420123751223419,0.000342759432122756,5,2,0.27162843221305,1,1
"ENSG00000115310",5.42671167318369e-08,1,9,0,-0.270923629227737,1,1
"ENSG00000163931",0.000339949603868522,0,2,2,-0.269909473776592,1,1
"ENSG00000110696",0.032203453987713,0.0130520161000084,3,1,0.269650430925883,1,1
"ENSG00000171928",0.00587891544095533,1,3,0,0.268530940564585,1,1
"ENSG00000153310",0.00286667876793833,1,16,0,0.266564686511984,1,0.8
"ENSG00000144034",0.00985898722294412,1,4,0,0.25963163517049,1,1
"ENSG00000185499",0.00330173191229369,0.190168243645097,7,0,-0.25667548468183,1,1
"ENSG00000116478",0.0128477530141148,0.14160019307316,3,0,-0.256286004965766,1,1
"ENSG00000144560",0.00218339091440567,1,12,0,-0.255319018733006,1,1
"ENSG00000091073",0.0366628615101414,1,9,0,0.25,1,1
"ENSG00000087077",0.00214070433516798,0.075350782652723,3,0,-0.245353700406371,1,1
"ENSG00000198355",8.5038854394157e-05,0.399630235341369,6,0,-0.244527462060729,1,1
"ENSG00000189159",0.0134357270291926,0.0599363267183364,3,0,-0.243401253397517,1,1
"ENSG00000013306",0.00970022665424359,1,6,0,-0.242681526853931,1,1
"ENSG00000114354",0.00206134189919923,1,6,0,-0.240339137024737,1,1
"ENSG00000131236",1.06409090673484e-06,1,8,0,-0.237616160341587,1,1
"ENSG00000102854",0.00190500991122543,1,11,0,-0.231578456545879,1,1
"ENSG00000070526",0.00807653629388272,1,8,0,0.23042183940815,1,1
"ENSG00000137767",0.0372180601120713,1,4,0,-0.22887973162608,1,1
"ENSG00000100219",0.00216275114223323,1,10,0,0.226342046893633,1,1
"ENSG00000087460",2.48380450679957e-09,1,14,0,-0.225099394098777,1,1
"ENSG00000176209",0.0307024144698144,1,8,0,-0.220289782211545,1,1
"ENSG00000115875",7.28839670548927e-05,4.63419092954904e-05,5,1,0.217548536004663,1,1
"ENSG00000175324",0.00377992393761108,1,6,0,-0.217036961946776,1,1
"ENSG00000126005",0.047110220318233,1,6,0,-0.214284962274639,1,1
"ENSG00000109180",0.00794279546751489,1,8,0,0.212451082509215,1,1
"ENSG00000230937",8.5038854394157e-05,1,10,0,0.212212213154899,1,1
"ENSG00000114942",1.05938863031581e-53,1,4,0,-0.2089655790756,1,1
"ENSG00000148180",0.0223922811158269,0.119313997078591,7,0,-0.208710138205182,1,1
"ENSG00000110321",0.000716492851415439,1,7,0,0.207210369882555,1,1
"ENSG00000137309",0.0216394320509454,1,8,0,0.20470048776138,1,1
"ENSG00000073737",0.00136110501624258,1,10,0,0.203285431454971,1,1
"ENSG00000117308",0.0484670056778282,1,12,0,0.202456132852461,1,1
"ENSG00000100906",0.0207438849587766,0,2,2,0.200831368225637,1,1
"ENSG00000007255",0.0181492746814332,1,5,0,0.200716348171274,1,1
"ENSG00000132341",4.28607830370482e-06,0,2,2,-0.20000724212711,1,1
"ENSG00000145113",8.5038854394157e-05,1,11,0,-0.199661420095453,1,1
"ENSG00000177674",0.026645405679369,1,8,0,-0.193827726431571,1,1
"ENSG00000166165",2.06637368130609e-10,4.68475008061398e-08,4,1,-0.191460010431552,1,1
"ENSG00000111011",0.0273200664970644,1,13,0,0.190447895634555,1,0.8
