"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_VIC01_72hpi_child_Infected-Secretory_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000170296",4.73960663943729e-09,0.000136647431899484,3,2,-0.893921229275564,1,1
"ENSG00000144589",6.86322552612623e-06,0.00857748908019856,3,1,-0.889546312557202,1,0.833333333333333
"ENSG00000138162",5.51456044780625e-09,1,5,0,-0.883545243839197,1,0.5
"ENSG00000134294",1.75426695782719e-10,0.714715036346104,3,0,-0.878651799701097,1,0.833333333333333
"ENSG00000059691",8.46189261097388e-09,1,3,0,0.876946595136743,1,0.666666666666667
"ENSG00000115084",7.73354601216815e-07,1,4,0,0.870453711458362,1,0.5
"ENSG00000104408",1.68211291645788e-169,3.05348064274133e-79,5,1,-0.867612016446732,1,1
"ENSG00000213024",0.00011628701797632,0.804328544249074,4,0,-0.867375731974412,1,0.5
"ENSG00000128833",0.00015405247070342,1,5,0,-0.865645373029857,0.833333333333333,0.5
"ENSG00000132716",0.00136120226929691,1,3,0,-0.86264184224408,1,0.5
"ENSG00000117751",3.20711183027461e-10,0.0140998215580892,3,1,0.860124919663985,1,0.833333333333333
"ENSG00000168300",1.62646962864527e-57,1,4,0,-0.857636049606153,1,0.833333333333333
"ENSG00000065883",6.91476012531449e-05,5.18611366410101e-05,3,1,-0.855890148259295,1,0.5
"ENSG00000170222",0.00049066313644014,1,3,0,0.849503698504299,0.666666666666667,0.5
"ENSG00000163322",0.000548982789870594,0.649579704783233,3,0,0.847698010336684,1,0.666666666666667
"ENSG00000118260",1.11643095637633e-06,1,4,0,0.84531103832129,0.833333333333333,0.5
"ENSG00000164919",1.37412496565466e-127,1.23212160877859e-129,3,2,0.843114593523056,1,1
"ENSG00000068796",2.44635938587737e-08,1,4,0,-0.841084020614273,0.833333333333333,0.5
"ENSG00000120798",4.02565612162372e-05,0.913760634245279,3,0,-0.839530992555589,1,0.666666666666667
"ENSG00000120690",9.24778412431493e-15,1,3,0,-0.839305565828016,1,0.666666666666667
"ENSG00000102054",8.26792480049417e-39,0.000458229565407142,4,1,0.837126084022801,1,1
"ENSG00000016602",0.00029670687954096,0.00699312492779424,3,1,-0.834980131824689,1,0.666666666666667
"ENSG00000205084",3.74876197867687e-07,0.706509354729694,4,0,0.83480845836896,1,0.666666666666667
"ENSG00000136986",2.95166564542255e-23,1.45490046763444e-13,4,2,0.834744046536761,1,0.666666666666667
"ENSG00000143416",6.72555528776679e-70,9.52846877392971e-49,4,1,-0.834220511840598,1,0.833333333333333
"ENSG00000142627",5.15101678540473e-24,0.364417134428878,4,0,-0.833873537045326,1,0.833333333333333
