"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Secretory_UK_72hpi_child_Infected-Secretory_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000163435"	"ENSG00000163435"	6.0520274847936e-317	1.27791427120858e-74	5	1	0.588132725601534	1	1
"ENSG00000100650"	"ENSG00000100650"	4.74160058885041e-120	2.82278850558807e-70	6	1	0.525968752447812	1	1
"ENSG00000168003"	"ENSG00000168003"	1.96897476562108e-72	3.08505914393926e-60	4	1	-0.65774795749336	1	1
"ENSG00000115457"	"ENSG00000115457"	4.13326676639631e-67	5.27254335845811e-53	5	2	-0.591472589140628	1	1
"ENSG00000149273"	"ENSG00000149273"	2.90315300976363e-211	2.54106429682739e-52	6	2	-0.606709388911919	1	1
"ENSG00000114942"	"ENSG00000114942"	4.07555419844728e-93	2.14779112487199e-44	3	1	-0.1921103057365	1	1
"ENSG00000113732"	"ENSG00000113732"	9.81557770239523e-168	1.14230351478283e-43	3	1	-0.747948508586616	1	1
"ENSG00000174547"	"ENSG00000174547"	1.71617941819229e-67	8.21409353688715e-43	4	2	0.712787681884128	1	1
"ENSG00000173812"	"ENSG00000173812"	1.5983556307756e-45	7.50603301422262e-39	4	1	-0.31634156908408	1	1
"ENSG00000113387"	"ENSG00000113387"	1.36492547989267e-51	2.50396422502154e-33	3	1	-0.757920971449118	1	1
"ENSG00000173486"	"ENSG00000173486"	4.41474962599292e-57	4.63849475806178e-33	4	1	-0.581070646085986	1	1
"ENSG00000174748"	"ENSG00000174748"	6.0520274847936e-317	3.3199576296227e-30	5	1	-0.800999165056927	1	1
"ENSG00000130066"	"ENSG00000130066"	4.84348464658324e-95	2.118563349697e-29	6	1	-0.258324812099592	1	1
"ENSG00000168259"	"ENSG00000168259"	1.66075802992615e-39	3.08386793291096e-29	3	1	0.632432332006442	1	1
