"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Cycling_basal_UK_72hpi_child_Infected-Cycling_basal_UK_72hpi_adult_Infected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000172239"	"ENSG00000172239"	0.000369622680188818	0.00537133392736666	6	1	0.278570792013863	1	1
"ENSG00000105835"	"ENSG00000105835"	0.018868119295248	0.00552457749023836	4	1	0.465461045391181	0.833333333333333	0.666666666666667
"ENSG00000102030"	"ENSG00000102030"	0.000126744684001151	0.00567984074859614	4	1	-0.857142462572122	1	0.666666666666667
"ENSG00000137274"	"ENSG00000137274"	0.000360516020814227	0.00577620209506394	3	1	0.90186407718774	0.833333333333333	0.5
"ENSG00000174547"	"ENSG00000174547"	0.0247379657496045	0.00585762714480697	3	1	0.189449357832685	1	1
"ENSG00000159346"	"ENSG00000159346"	0.000420280163517753	0.0061218074411907	3	1	0.387258853108923	1	1
"ENSG00000270647"	"ENSG00000270647"	0.000100416856697351	0.00684727705670899	5	1	0.388020887160398	1	1
"ENSG00000170017"	"ENSG00000170017"	0.000397188671631072	0.00739601370889233	3	1	0.671960908317977	1	1
"ENSG00000104687"	"ENSG00000104687"	0.00326941363421066	0.00745147062430414	3	1	0.667030581681977	1	0.833333333333333
"ENSG00000143353"	"ENSG00000143353"	6.26614702685264e-10	0.00823935594824962	7	1	0.666625091867501	1	0.666666666666667
"ENSG00000109854"	"ENSG00000109854"	0.0386844515581718	0.00858127119637949	3	2	0.307425448492251	1	1
"ENSG00000179094"	"ENSG00000179094"	4.85294815840719e-11	0.00883088612017937	8	1	0.375079964682736	1	0.833333333333333
"ENSG00000019582"	"ENSG00000019582"	0.000938676456168515	0.00897079317031384	5	1	-0.75410089131327	1	0.833333333333333
"ENSG00000155660"	"ENSG00000155660"	0.0123323793471993	0.00902771956561879	4	1	-0.625071646568406	1	0.833333333333333
"ENSG00000127314"	"ENSG00000127314"	2.63051656454233e-14	0.00922835814215857	6	1	-0.229885058378278	1	1
"ENSG00000140905"	"ENSG00000140905"	5.19170210337165e-19	0.00976175536486356	4	1	0.559321889950277	1	1
"ENSG00000136261"	"ENSG00000136261"	1.16722850069106e-06	0.010159458877262	5	1	0.459825619043568	1	1
"ENSG00000173272"	"ENSG00000173272"	7.15979538617237e-09	0.0102567465939778	3	1	-0.286910814073259	1	1
"ENSG00000104765"	"ENSG00000104765"	0.00114156228493523	0.0108158122593772	4	1	-0.395995160141087	1	1
"ENSG00000156261"	"ENSG00000156261"	0.0465945194245053	0.0113814838309216	3	2	0.219566610023122	1	1
"ENSG00000182541"	"ENSG00000182541"	0.0165314798673818	0.0126027841764787	4	1	0.609558697727346	1	0.833333333333333
"ENSG00000068796"	"ENSG00000068796"	0.0139541618569754	0.0127587613868575	4	1	-0.749925430746051	1	0.666666666666667
"ENSG00000139644"	"ENSG00000139644"	0.0130318418389567	0.0128893199051118	5	1	-0.293904394209303	1	1
"ENSG00000006118"	"ENSG00000006118"	0.00944631721424915	0.0132139697855261	3	1	-0.379303984960636	1	1
"ENSG00000146540"	"ENSG00000146540"	1.18897782685208e-05	0.0138649854108913	4	1	-0.409710988345838	1	1
"ENSG00000172830"	"ENSG00000172830"	0.0284997473556147	0.0146537180294616	4	1	0.621052990094784	1	0.833333333333333
"ENSG00000092820"	"ENSG00000092820"	6.02098823400858e-05	0.0150761671694583	4	1	0.533437795190322	1	1
"ENSG00000243989"	"ENSG00000243989"	0.00218144570552046	0.0152637916404844	3	1	0.769108144615898	1	0.666666666666667
"ENSG00000186395"	"ENSG00000186395"	0.00980668755551312	0.0152936642891147	4	1	0.392341003830889	1	1
"ENSG00000041988"	"ENSG00000041988"	0.000351461841778358	0.0156464051838249	3	1	0.891360033739675	1	0.666666666666667
"ENSG00000185624"	"ENSG00000185624"	0.00231094904399213	0.0166469295130987	4	1	-0.231628660976863	1	1
"ENSG00000168310"	"ENSG00000168310"	0.0325711000261104	0.0173357883561398	4	2	-0.522807137453746	1	0.833333333333333
"ENSG00000143502"	"ENSG00000143502"	0.00155639279786213	0.0185713147387183	4	1	-0.615851416806116	1	0.666666666666667
"ENSG00000120992"	"ENSG00000120992"	1.35539845997936e-13	0.0188557527901684	7	1	-0.499737012483986	1	1
"ENSG00000175756"	"ENSG00000175756"	0.00270550401925373	0.0194489793105402	5	1	-0.193390674788888	1	1
"ENSG00000106853"	"ENSG00000106853"	0.000190447548545712	0.0207419669086193	8	1	0.204733783096491	1	1
"ENSG00000149084"	"ENSG00000149084"	4.33394438140059e-08	0.0215821949096772	5	1	0.511201913046282	1	1
"ENSG00000198736"	"ENSG00000198736"	0.016415092910701	0.0218018007160037	3	1	-0.458824370266285	1	1
"ENSG00000154582"	"ENSG00000154582"	0.000447636748196344	0.0224617598082061	7	1	-0.314356438872821	1	1
"ENSG00000133226"	"ENSG00000133226"	5.84257884142988e-12	0.0225827113837227	5	1	0.34423951070669	1	1
"ENSG00000100359"	"ENSG00000100359"	1.23148189292263e-09	0.0226596581226697	6	1	0.44767934364874	1	0.666666666666667
"ENSG00000179387"	"ENSG00000179387"	0.0148218932119058	0.0229123819510601	3	1	-0.760167684609768	1	0.833333333333333
"ENSG00000167920"	"ENSG00000167920"	0.000324017038982615	0.0234163326209002	4	1	0.476331731466352	1	1
"ENSG00000113916"	"ENSG00000113916"	0.0158079879469836	0.0245918296256404	3	1	0.761674007938978	1	0.833333333333333
"ENSG00000198563"	"ENSG00000198563"	2.26014397497852e-06	0.0273500765322523	6	1	0.250035309296342	1	1
"ENSG00000121579"	"ENSG00000121579"	0.0175644722398463	0.0293461281559946	3	1	0.516855955577511	1	1
"ENSG00000035115"	"ENSG00000035115"	2.49072266520862e-07	0.0319829081967439	10	1	0.240740528800615	1	1
"ENSG00000114861"	"ENSG00000114861"	0.0189481100709538	0.037775981033303	7	1	0.419823593220382	1	1
"ENSG00000173171"	"ENSG00000173171"	0.0182961741914756	0.0382175585007609	4	1	0.47686656028331	1	0.833333333333333
"ENSG00000146072"	"ENSG00000146072"	0.000286473460816749	0.0422374352954963	3	1	0.52807503346374	1	1
"ENSG00000148180"	"ENSG00000148180"	0.00046987741638635	0.0434829125672228	6	1	0.182521149989946	1	1
"ENSG00000176454"	"ENSG00000176454"	0.012249124179003	0.0451387169325949	3	1	-0.39127226860669	1	1
"ENSG00000108641"	"ENSG00000108641"	0.0373516107352106	0.0463612993057174	6	1	0.600295157434292	0.833333333333333	0.666666666666667
"ENSG00000105281"	"ENSG00000105281"	0.0212597184387785	0.0485227239494991	5	1	-0.451448468085915	1	0.666666666666667
