"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Goblet_UK_72hpi_child_Infected-Goblet_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000109390",0.000875406342543207,0.0733141711308713,5,0,0.349470830712224,1,1
"ENSG00000125826",0.0238574040262799,1,7,0,-0.346658285433588,1,0.8
"ENSG00000122417",0.0261164952425549,1,9,0,-0.346157521096561,1,0.6
"ENSG00000175324",0.0128953570247185,1,7,0,-0.339508980108754,1,1
"ENSG00000244754",0.0115755173568899,1,10,0,0.333332266688357,0.8,0.6
"ENSG00000016864",1.94255534928251e-06,1,12,0,0.333325778407632,1,0.8
"ENSG00000172239",0.00225534574356817,1,9,0,0.329425733824693,1,0.8
"ENSG00000160180",0.0217171620020939,0.0492505664607278,4,1,-0.328968382273508,1,1
"ENSG00000125944",1.22035637956271e-08,0.0482800933659533,12,1,0.324605242386071,1,1
"ENSG00000117395",0.000116584754504523,1,7,0,0.322045165201979,1,1
"ENSG00000122378",0.0054804202147015,0.352208998490219,5,0,-0.321262577698693,1,1
"ENSG00000147996",0.00932941673678837,1,9,0,-0.320690472807752,1,1
"ENSG00000196344",2.23355107294079e-09,1,10,0,-0.318959474588193,1,1
"ENSG00000080824",0.0140728365425343,0,2,2,-0.315952349453896,1,1
"ENSG00000100519",0.0405973352331828,0.818326564186181,6,0,-0.30492936290377,1,1
"ENSG00000161921",0.0456093400097002,1,5,0,0.300157959012782,1,1
"ENSG00000114125",0.033457235264951,0.642990791986066,6,0,0.295536248688278,1,1
"ENSG00000173812",2.60500575963116e-10,7.69829960608509e-09,5,2,-0.292582177734246,1,1
"ENSG00000133142",0.0328803906688369,1,7,0,-0.2918432481072,1,1
"ENSG00000108244",0.000617906895445963,1,5,0,-0.289018635535512,1,1
"ENSG00000163597",7.1637549735253e-09,1,15,0,-0.287744431476489,1,1
"ENSG00000142192",0.0293672252746972,1,10,0,0.284660329202867,1,0.8
"ENSG00000198242",4.99476123752963e-15,1,4,0,0.284595654500736,1,1
"ENSG00000102854",2.98161729305803e-07,1,12,0,-0.283328484921616,1,0.8
"ENSG00000115310",0.0162502674694462,1,5,0,-0.283272004954299,1,1
"ENSG00000131981",5.28039681666532e-44,3.7095603822077e-26,3,1,-0.283179151367315,1,1
"ENSG00000111907",5.11720910908578e-05,1,10,0,-0.280440870847797,0.8,0.8
"ENSG00000070756",1.53277450082722e-11,1,7,0,0.278162368983711,1,1
"ENSG00000105655",0.0285819862171637,1,6,0,0.272727923057248,1,1
"ENSG00000111011",0.0360496270540439,1,15,0,-0.267883794364017,1,1
"ENSG00000133318",0.0159116306142409,1,6,0,0.265930683108957,1,1
"ENSG00000130066",3.77110480060671e-13,0.000120733926329952,6,1,-0.255863653707927,1,1
"ENSG00000110492",8.26312111469114e-08,1,7,0,0.254545092497492,1,1
"ENSG00000138085",0.0445131515255651,0.146467176168501,6,0,-0.251278802215587,1,1
"ENSG00000163565",0.0259820829863833,0.836557246271181,15,0,0.242745202462572,1,0.8
"ENSG00000165119",0.000455996604249567,0.209133044853269,10,0,-0.239841563749518,1,1
"ENSG00000197956",4.12119664216066e-118,1,3,0,-0.239786066858194,1,1
"ENSG00000119888",0.0307741834685417,1,4,0,-0.238948102522972,1,1
"ENSG00000104886",0.0172436576672408,1,7,0,-0.238095806347001,1,0.8
"ENSG00000143222",2.81691985602138e-10,0.0345116347243465,5,1,0.236352494869101,1,1
"ENSG00000167757",0.0489895940021072,1,7,0,0.234790861384531,1,1
"ENSG00000167642",0.00458640832759128,0.000728990345130375,3,1,0.233468415614771,1,1
