"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_uninfected_child_Uninfected-Basal_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000183426"	"ENSG00000183426"	7.65088363526486e-07	0.00979497712084987	5	1	0.737889811122739	1	0.666666666666667
"ENSG00000132128"	"ENSG00000132128"	0.0118863524707419	0.0109049729761182	3	1	-0.633777592076907	1	1
"ENSG00000234465"	"ENSG00000234465"	0.00373129325373439	0.0111612960580557	4	1	-0.702995288921558	0.833333333333333	0.666666666666667
"ENSG00000117984"	"ENSG00000117984"	0.00750756635406669	0.0112332688940346	3	1	0.168534705644548	1	1
"ENSG00000263001"	"ENSG00000263001"	2.78340299667319e-10	0.0114575291563589	5	1	0.571088952262531	1	0.833333333333333
"ENSG00000184584"	"ENSG00000184584"	0.00640540872571606	0.0122526029543967	7	1	0.455359003087825	1	1
"ENSG00000111371"	"ENSG00000111371"	0.0207597867699988	0.0134180887246302	4	1	0.612068228716645	1	1
"ENSG00000134308"	"ENSG00000134308"	0.0125520039707105	0.0134483469275683	3	1	-0.24310902393274	1	1
"ENSG00000140416"	"ENSG00000140416"	0.0151241727841236	0.0155491065067641	3	1	0.478246873190042	1	0.833333333333333
"ENSG00000257698"	"ENSG00000257698"	1.55258947447494e-11	0.017339058421317	6	1	-0.684576598025796	1	0.833333333333333
"ENSG00000167986"	"ENSG00000167986"	3.56624289122307e-05	0.0182888965311106	3	1	-0.680909393136521	1	1
"ENSG00000164733"	"ENSG00000164733"	3.37908431195263e-20	0.018833737634423	7	1	0.542228041516726	1	0.833333333333333
"ENSG00000164442"	"ENSG00000164442"	0.00479627636784134	0.0190898235697922	4	1	-0.389392785225322	1	1
"ENSG00000184432"	"ENSG00000184432"	7.63140109009048e-10	0.0191026433954641	4	1	-0.629410530146947	1	1
"ENSG00000111907"	"ENSG00000111907"	6.5726924663581e-08	0.0206917177674276	5	1	0.454752145866846	1	1
"ENSG00000114439"	"ENSG00000114439"	0.00219300420880576	0.0211855406827754	4	1	-0.70619564769448	1	0.666666666666667
"ENSG00000151465"	"ENSG00000151465"	0.0180331084089027	0.0215579613443329	3	1	0.275723127799559	1	1
"ENSG00000183844"	"ENSG00000183844"	0.0210035666124969	0.0229130367580284	3	1	0.42285016005125	1	1
"ENSG00000116285"	"ENSG00000116285"	0.00962204655066842	0.0241701910123831	4	1	0.419830791704376	1	1
"ENSG00000166598"	"ENSG00000166598"	0.00183146715953778	0.0243185520206273	4	1	-0.334871305353432	1	1
"ENSG00000241468"	"ENSG00000241468"	0.0244111461137341	0.0251824124597452	3	2	0.209963513128687	1	1
"ENSG00000143321"	"ENSG00000143321"	0.00566526663455662	0.0271273198360571	4	1	0.433600118609471	1	1
"ENSG00000101447"	"ENSG00000101447"	0.03331943834875	0.0327987694357945	3	1	-0.6431946642865	1	0.833333333333333
"ENSG00000170296"	"ENSG00000170296"	6.59951267182015e-13	0.0336232414401193	6	1	0.895098431306836	1	0.833333333333333
"ENSG00000130520"	"ENSG00000130520"	0.0314253710823076	0.0345889087435913	4	1	-0.228904883541921	1	1
"ENSG00000243955"	"ENSG00000243955"	1.79224841050269e-08	0.0351332225395287	3	1	-0.266451084753393	1	1
"ENSG00000110321"	"ENSG00000110321"	1.18799558509281e-06	0.0361564913399946	7	1	-0.362270630424642	1	1
"ENSG00000197728"	"ENSG00000197728"	0.029710041947147	0.0392461434836494	3	1	0.35559476236101	1	1
"ENSG00000204220"	"ENSG00000204220"	0.0228240630062217	0.0394175076799336	4	1	0.597893298070392	0.833333333333333	0.833333333333333
"ENSG00000107175"	"ENSG00000107175"	0.0125520039707105	0.0414885806094087	3	1	0.351749107617116	1	1
"ENSG00000108946"	"ENSG00000108946"	0.00220966044008813	0.0452056947181078	6	1	0.51751987554834	1	0.833333333333333
"ENSG00000181163"	"ENSG00000181163"	0.0153141535137982	0.045741498683091	3	1	-0.515525092629368	1	1
"ENSG00000108588"	"ENSG00000108588"	7.23345176532001e-08	0.0477559459864233	3	1	0.652037672866502	1	1
"ENSG00000178057"	"ENSG00000178057"	0.00422246650494094	0.0480559577378121	5	1	-0.32803259347991	1	1
"ENSG00000160211"	"ENSG00000160211"	0.034978570991008	0.0499728108463265	4	1	-0.423398872068342	1	0.833333333333333
