"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_UK_72hpi_child_Infected-Basal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000143198"	"ENSG00000143198"	0.00622661653437983	0.00736077697886117	3	1	-0.216142813932388	1	1
"ENSG00000102024"	"ENSG00000102024"	0.0177821095946436	0.0074031912885922	3	1	-0.660764776026943	1	1
"ENSG00000100979"	"ENSG00000100979"	7.42932062163685e-07	0.00780608284309574	4	1	-0.5297028806554	1	0.833333333333333
"ENSG00000177459"	"ENSG00000177459"	0.00201920565271689	0.00823903642760217	3	1	0.466165094508	1	1
"ENSG00000245694"	"ENSG00000245694"	6.74514948316092e-22	0.00935861701834894	6	2	-0.602800551812837	1	1
"ENSG00000137309"	"ENSG00000137309"	0.00931036996280452	0.00986576867336679	6	1	-0.402267576608522	1	1
"ENSG00000130312"	"ENSG00000130312"	3.50971601558415e-05	0.0106503683659387	3	1	0.618988504084273	1	1
"ENSG00000123179"	"ENSG00000123179"	0.0320639444211341	0.0121836552104037	3	1	-0.174771479834347	1	1
"ENSG00000175756"	"ENSG00000175756"	0.0355962107233936	0.013127767541829	4	1	0.325464830775945	1	1
"ENSG00000160211"	"ENSG00000160211"	0.00343019467164288	0.0133697214301694	3	1	0.545963424530228	1	0.833333333333333
"ENSG00000071994"	"ENSG00000071994"	0.019901633820173	0.0136290230871289	7	1	-0.546335818585477	1	1
"ENSG00000149547"	"ENSG00000149547"	6.65121076309979e-05	0.0137590109477082	3	1	-0.471671739937373	1	1
"ENSG00000183172"	"ENSG00000183172"	2.32760853406515e-07	0.0143066352145527	8	1	0.478550785918074	1	0.833333333333333
"ENSG00000102572"	"ENSG00000102572"	4.09940592217253e-07	0.0145731972092339	5	1	0.740267241426587	0.833333333333333	0.666666666666667
"ENSG00000140416"	"ENSG00000140416"	0.00828191612927526	0.0152614548191239	4	1	-0.469275338695701	1	0.833333333333333
"ENSG00000110536"	"ENSG00000110536"	0.0477582619792381	0.0159494194812978	7	1	-0.655178491791778	1	0.666666666666667
"ENSG00000134779"	"ENSG00000134779"	3.18556070325021e-05	0.0161593748763905	9	1	-0.296455748252284	1	0.833333333333333
"ENSG00000034152"	"ENSG00000034152"	0.0459136671438981	0.0177356214358556	6	1	-0.381480898658694	1	0.833333333333333
