"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_UK_72hpi_child_Infected-Basal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000108963",8.92983923369551e-05,1,3,0,0.714235706302456,1,0.666666666666667
"ENSG00000174547",8.84530300347649e-19,2.14379663515732e-16,4,1,0.709799165978952,1,1
"ENSG00000183426",0.00210103576870647,0.121336408599505,4,0,-0.708614445117775,1,0.833333333333333
"ENSG00000076554",3.68803167401569e-19,1,7,0,0.704341417531157,1,0.833333333333333
"ENSG00000021355",5.67092437292973e-15,9.65523934772367e-05,4,1,-0.70360847530949,1,0.833333333333333
"ENSG00000070190",0.00137289215385925,0.04749453284963,3,1,-0.703003516700051,0.833333333333333,0.666666666666667
"ENSG00000169926",0.00260880627480795,0.0267015128710154,4,1,0.699616202326996,1,0.666666666666667
"ENSG00000090263",2.15804626806063e-38,1,6,0,0.699453591690095,1,0.833333333333333
"ENSG00000178104",0.00141850025713162,1,3,0,-0.698185195464003,1,0.666666666666667
"ENSG00000159658",0.00468546930593767,1,3,0,0.695793332559074,1,0.833333333333333
"ENSG00000079246",7.84776834912983e-11,0.184169660746008,3,0,0.694889820611301,1,1
"ENSG00000113732",3.33912962366863e-85,1.22641750587552e-18,3,1,-0.694533787858624,1,1
"ENSG00000167986",2.82910408739784e-06,3.92289618605595e-07,3,2,-0.692910729349711,1,1
"ENSG00000104375",0.00101903933296716,1,3,0,0.692449591783353,1,1
"ENSG00000106348",0.0244440227934659,0.0233580077637471,4,1,-0.691175157981073,0.833333333333333,0.666666666666667
"ENSG00000116871",0.0247241529231343,0.00580153020013964,4,1,-0.690647632270376,1,1
"ENSG00000152904",5.62605725468902e-10,1,6,0,0.683774223898059,1,0.833333333333333
"ENSG00000100650",6.36528033607997e-55,1.6938204555005e-45,4,1,0.669922606038424,1,1
"ENSG00000140350",2.09022403914911e-08,0.000214875036192989,4,1,0.66963933626196,1,1
"ENSG00000173848",7.68473799294074e-08,4.41272464383378e-07,3,1,0.669242605580535,1,1
"ENSG00000120533",9.23033040160622e-18,1,6,0,-0.666668612389726,1,0.833333333333333
"ENSG00000125743",0.0402871257419752,1,4,0,-0.666666666666667,1,0.666666666666667
"ENSG00000083896",0.0239839049706103,1,7,0,-0.666666666666667,1,0.5
"ENSG00000159216",0.0103677901276634,1,4,0,-0.666666666666667,0.833333333333333,0.666666666666667
"ENSG00000168615",0.0275393169942954,1,4,0,-0.666666666666667,0.833333333333333,0.666666666666667
"ENSG00000167900",0.0211893837171117,0.140974926502552,3,0,-0.666666666666664,0.833333333333333,0.666666666666667
"ENSG00000151239",1.7058190520264e-16,1,7,0,-0.666665579270178,0.833333333333333,0.666666666666667
"ENSG00000137996",3.64341730500574e-06,0.402630922502026,3,0,-0.665306299233793,1,1
"ENSG00000102024",0.0177821095946436,0.0074031912885922,3,1,-0.660764776026943,1,1
"ENSG00000230124",1.82767426972368e-11,1,4,0,0.659648500976552,1,1
"ENSG00000110536",0.0477582619792381,0.0159494194812978,7,1,-0.655178491791778,1,0.666666666666667
"ENSG00000170425",0.0020131542116183,1,3,0,0.653911237735215,0.833333333333333,0.666666666666667
"ENSG00000140254",0.00798480099251033,0.326087624694416,5,0,-0.652766668197767,1,0.666666666666667
"ENSG00000147813",1.90052583204979e-17,1,4,0,-0.651348058423858,1,1
"ENSG00000146072",5.41308678156051e-05,0.00120307946659113,3,1,0.650341392068206,1,1
"ENSG00000057663",4.94821481940198e-05,7.21215096223683e-05,7,1,-0.648154679714033,1,0.666666666666667
"ENSG00000203880",0.0173264197955879,1,3,0,-0.64671266677617,1,0.666666666666667
"ENSG00000060237",2.64426145339168e-10,1,8,0,-0.645683967771459,1,0.666666666666667
"ENSG00000135951",1.64796890496344e-05,0.000348112204310462,5,1,0.64523451902212,1,0.833333333333333
"ENSG00000155660",1.0410980873478e-05,0.844043422393999,5,0,0.644200070159886,1,1
"ENSG00000168003",4.62889766279418e-18,5.44703823303169e-17,5,1,-0.643401188617381,1,1
"ENSG00000130560",1.26556923008126e-15,1,5,0,0.637094426017585,1,1
"ENSG00000168758",0.0499777547467793,1,4,0,0.634431733538566,1,0.5
"ENSG00000163517",0.00443240534417847,0.390169106910635,4,0,0.632964421272729,1,1
"ENSG00000175221",0.000176294389079774,1,4,0,0.630433702625287,0.833333333333333,0.833333333333333
"ENSG00000141646",0.00145555876840018,1,3,0,-0.626981923627062,1,0.833333333333333
"ENSG00000004961",1.34987242003387e-08,1,7,0,0.624999096090124,0.833333333333333,0.833333333333333
"ENSG00000113240",0.000704686768122258,1,9,0,-0.624997219185205,1,0.833333333333333
"ENSG00000168259",7.38360779506016e-10,1,4,0,0.622200442943493,0.833333333333333,0.833333333333333
"ENSG00000148700",0.000877034906097091,0.000342773665986646,3,1,-0.61948914260828,1,1
"ENSG00000149929",0.000727903066447588,1,5,0,-0.619477160500785,1,0.666666666666667
