"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Suprabasal_UK_72hpi_adult_Infected-Suprabasal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000139350",0.0110921739369442,0.448995100323459,3,0,-0.66365310154365,1,0.666666666666667
"ENSG00000172638",0.0319002807555087,1,4,0,-0.661483988125943,1,0.5
"ENSG00000152894",0.00184320513719694,1,4,0,-0.659872295002384,1,0.833333333333333
"ENSG00000135775",0.00335833600956188,0.932331724430174,3,0,0.656527988386759,1,0.833333333333333
"ENSG00000102225",3.60976565237069e-06,0.000148966800734651,5,1,-0.654760523140983,1,1
"ENSG00000103811",0.00580225585303848,0.00233989537273305,3,1,0.65333366044999,1,1
"ENSG00000139168",0.0146946564221195,1,4,0,0.652089652376716,1,1
"ENSG00000165533",0.0357953582327263,0.142252635634286,4,0,0.651869411755583,1,0.666666666666667
"ENSG00000168615",0.000884469660117559,0.00034668598648679,5,1,0.650245194557207,1,1
"ENSG00000177565",5.0919711208418e-08,1,4,0,0.648989922445416,1,0.833333333333333
"ENSG00000117602",0.00399168198399637,0.0702898277608699,3,0,-0.64814621436074,1,0.833333333333333
"ENSG00000151150",0.000642708227258201,1,4,0,-0.645738191480747,1,1
"ENSG00000168300",8.67840527336244e-08,0.516963697176958,5,0,0.645566061358521,1,1
"ENSG00000073921",0.00170023772528774,0.388825389269271,4,0,0.645142153375924,1,0.666666666666667
"ENSG00000152056",1.59143317906421e-05,1,4,0,0.642615904711924,1,0.666666666666667
"ENSG00000172831",1.27803555459746e-11,1.31608324499732e-06,4,1,0.642275807317115,1,1
"ENSG00000128510",2.8427686870669e-12,0.280396543552505,4,0,0.641761741576742,1,1
"ENSG00000204351",0.00543067658981929,0.169144534724051,4,0,0.641236669451879,1,0.833333333333333
"ENSG00000160298",0.000473704119107183,1,5,0,-0.638888884152215,1,0.666666666666667
"ENSG00000101144",1.08644552811171e-09,5.50293201914082e-09,3,1,-0.638736823160492,1,1
