"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Suprabasal_UK_72hpi_child_Infected-Suprabasal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000155660"	"ENSG00000155660"	1.0590989426961e-07	2.13395013236113e-05	5	1	-0.619822343385838	1	1
"ENSG00000257727"	"ENSG00000257727"	1.43078488890621e-10	3.19389029313913e-05	4	1	-0.619813855661965	1	1
"ENSG00000183172"	"ENSG00000183172"	2.70356445169589e-09	3.34609416118008e-05	4	1	-0.941058715041823	1	0.666666666666667
"ENSG00000111907"	"ENSG00000111907"	3.36847184584911e-10	4.74551376793791e-05	4	2	-0.437628517766597	1	1
"ENSG00000137818"	"ENSG00000137818"	0.000483710681684132	4.80635457591476e-05	3	2	0.223848898272664	1	1
"ENSG00000154380"	"ENSG00000154380"	8.20942517134926e-05	5.30721040862098e-05	4	1	0.672788048529162	1	0.833333333333333
"ENSG00000177459"	"ENSG00000177459"	7.98452636746205e-05	7.24482844108793e-05	3	1	0.475999587340142	1	0.833333333333333
"ENSG00000148248"	"ENSG00000148248"	1.4657700945287e-06	8.4905126121725e-05	6	2	-0.452755786920043	1	0.833333333333333
"ENSG00000156976"	"ENSG00000156976"	0.000136970814952221	9.32222509012191e-05	5	1	-0.215009451912721	1	1
"ENSG00000108963"	"ENSG00000108963"	7.83378898528889e-06	9.61242471042077e-05	4	1	0.754438341753439	1	0.666666666666667
"ENSG00000132274"	"ENSG00000132274"	1.94009360872507e-07	0.000105392568801933	4	1	-0.613650902204536	1	0.833333333333333
"ENSG00000148700"	"ENSG00000148700"	0.000332798206898025	0.000129045203971593	3	1	-0.754316161383676	0.833333333333333	0.666666666666667
"ENSG00000115963"	"ENSG00000115963"	8.89749510993013e-06	0.000130247708957532	5	2	0.269512326161705	1	1
"ENSG00000141013"	"ENSG00000141013"	6.28868287768375e-06	0.000153176627227354	6	1	-0.641017038531384	1	0.833333333333333
"ENSG00000079462"	"ENSG00000079462"	1.52607321970756e-14	0.000155336134586652	5	1	-0.641274969382447	1	1
"ENSG00000163584"	"ENSG00000163584"	6.77945727715043e-07	0.000175125841888338	3	1	-0.330955536353297	1	1
"ENSG00000149547"	"ENSG00000149547"	1.0244681455495e-06	0.000178673146354043	3	1	-0.538704985977002	1	1
"ENSG00000143977"	"ENSG00000143977"	0.00116464837477522	0.000228876920833588	3	2	-0.250427997149764	1	1
"ENSG00000103415"	"ENSG00000103415"	5.60969011948432e-07	0.000245830375881633	5	1	0.560053639020837	1	1
"ENSG00000108588"	"ENSG00000108588"	0.00175977720174619	0.000260282016694574	3	2	0.551562683256439	1	1
"ENSG00000116350"	"ENSG00000116350"	4.07493404526e-08	0.000277457817460422	3	1	0.46494038917413	1	1
"ENSG00000178104"	"ENSG00000178104"	0.000480037039523212	0.000334295938615381	3	1	0.752561649849524	1	0.666666666666667
"ENSG00000173848"	"ENSG00000173848"	5.58867219310249e-07	0.000340810886052175	3	1	0.678871415720178	1	1
