"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Suprabasal_UK_72hpi_child_Infected-Suprabasal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000187492",7.95720558402162e-05,1,4,0,-0.419577714141377,1,1
"ENSG00000136261",1.47373683012882e-09,0.142046176703571,6,0,0.416495038821817,1,1
"ENSG00000086544",0.00149661876049334,0.795547963853575,3,0,0.416068936789832,1,1
"ENSG00000213676",0.0196615115849167,0.470766531024719,4,0,0.414535705262687,1,1
"ENSG00000011009",6.41522263132431e-05,1,5,0,-0.414496043076868,1,1
"ENSG00000244754",0.0250883975388401,0.0420561911703246,7,1,0.410264888809433,1,0.833333333333333
"ENSG00000164609",0.0290265338925806,1,3,0,-0.409875320514799,0.833333333333333,0.666666666666667
"ENSG00000163597",1.69045888927653e-16,0.452823965239471,10,0,-0.408974741000871,1,0.666666666666667
"ENSG00000073350",0.0292934738511745,0.18518863168199,4,0,-0.407788373258068,1,1
"ENSG00000141524",0.0314441443177739,0.0881742391919202,5,0,-0.407407349207762,1,1
"ENSG00000184584",0.0205101031327111,0.014730727816445,6,1,-0.406756629381292,1,1
"ENSG00000144908",0.0289827588739106,0.0077667212390621,4,1,-0.406338805346239,1,1
"ENSG00000141002",1.6378045296635e-10,0.0657123991624571,7,0,-0.405766781705948,1,0.833333333333333
"ENSG00000221914",1.67481880588627e-05,1,6,0,0.405648343605582,1,1
"ENSG00000160752",1.22943451070804e-23,0.0197251745058997,8,1,-0.404663996314103,1,1
"ENSG00000137767",1.00487914569444e-05,0.747909283264026,4,0,-0.404564317519961,1,1
"ENSG00000064490",4.92820487323722e-06,1,6,0,-0.404315097881988,1,0.833333333333333
"ENSG00000158234",1.00108105417125e-07,1,8,0,0.402983918813312,1,1
"ENSG00000234465",0.00813660906516468,1,4,0,-0.402766455778093,1,1
"ENSG00000142192",3.29026288393942e-07,0.00136181309729668,7,1,-0.402742134983734,1,1
"ENSG00000166822",0.0274198451485382,1,4,0,0.402336616001885,1,0.666666666666667
"ENSG00000198736",0.000135072123127151,0.228675904653881,3,0,-0.40108515118095,1,1
"ENSG00000151327",5.88928148343728e-05,1,6,0,-0.400232165891092,1,1
"ENSG00000182093",1.42667237693399e-06,1,5,0,-0.399999916148903,1,1
