"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_UK_72hpi_adult_Infected-Basal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000135387",5.81474362779452e-05,0.000321364830317951,4,1,0.436678071306501,1,1
"ENSG00000128699",2.30612397205364e-06,0.519121074647599,6,0,-0.436274593476652,1,1
"ENSG00000186468",5.76801299733525e-05,1.03550479321096e-05,3,2,0.435734238679636,1,1
"ENSG00000089127",1.44673483991622e-06,0.00966486730747272,4,1,0.435064045851561,1,1
"ENSG00000092201",3.21684936574871e-08,0.733992281067367,4,0,0.434780706378127,1,1
"ENSG00000117395",3.48401228967405e-29,1,5,0,0.434374134318375,1,1
"ENSG00000104881",1.74027387235727e-09,5.55740759360652e-05,5,1,0.434329963064882,1,0.833333333333333
"ENSG00000115694",2.35783804325449e-11,1,7,0,-0.43364631117288,1,1
"ENSG00000136240",4.52859902922931e-11,0.426166949909354,5,0,0.432478368261081,1,1
"ENSG00000010361",5.62611009458196e-05,0.000470976263216055,4,1,-0.431791849020316,1,1
"ENSG00000159216",0.0017333600570383,1,6,0,0.431404167514954,1,0.833333333333333
"ENSG00000204256",1.67546584694417e-06,0.000399161440548752,6,1,-0.430818527298552,1,1
"ENSG00000198901",0.00869329745202017,0.952982351215893,4,0,0.430598401227468,0.833333333333333,0.666666666666667
"ENSG00000167996",9.26091375846336e-154,1.43669023157054e-130,4,1,-0.430133260495068,1,1
"ENSG00000122952",3.18672561563996e-06,1,7,0,0.428646192526047,1,0.833333333333333
"ENSG00000138119",3.67048749285059e-18,0.744901733499551,5,0,-0.42859601235143,1,1
"ENSG00000072682",1.70722886820223e-17,1,10,0,-0.428571649510391,1,0.666666666666667
"ENSG00000129534",7.4589210078243e-08,0.090515503855246,9,0,-0.428398940855261,1,0.833333333333333
"ENSG00000127125",4.84351746449382e-17,2.58586589952887e-16,5,2,0.428243445677739,1,1
"ENSG00000070190",0.0139933227741451,0.0471212399847664,3,1,-0.42824200184483,1,0.833333333333333
"ENSG00000107164",0.000284185894534542,0.702369617394804,3,0,0.42797759996152,1,1
"ENSG00000271109",0.0325293813373664,1,5,0,-0.427487692424741,1,0.666666666666667
"ENSG00000001084",3.85221913312931e-15,1,5,0,0.426007532182184,1,1
"ENSG00000011295",2.56331271105309e-06,0.0700498309136736,4,0,0.425788979867257,1,1
"ENSG00000147642",0.00115457520445553,1,6,0,-0.425618406229874,1,0.833333333333333
"ENSG00000196872",2.78333090869165e-05,0.01478184708346,6,1,-0.424762122086786,1,1
"ENSG00000126214",0.00817388438738774,0.0039338387262321,8,1,-0.424110462909434,1,1
"ENSG00000131051",9.36396047866698e-14,1,8,0,0.423157179617147,1,1
"ENSG00000174243",1.88538853197372e-07,1,5,0,-0.422537163680919,1,1
"ENSG00000259153",0.00367806176626191,1,5,0,-0.421684443244885,1,0.666666666666667
"ENSG00000117620",1.78449180250027e-14,1,10,0,0.421591137636255,1,0.5
"ENSG00000110958",5.97275321522189e-26,4.60013375042171e-17,4,1,-0.421168895725227,1,1
"ENSG00000149115",1.74938399377759e-17,1,8,0,-0.420565382951582,1,0.833333333333333
"ENSG00000133961",0.00743696531831955,0.684164922835232,6,0,-0.420005753895299,1,0.833333333333333
"ENSG00000122482",7.41643407000973e-07,1,8,0,-0.419660448396179,1,0.833333333333333
"ENSG00000077312",1.24501952556428e-08,0.674492084165329,5,0,0.419501669202059,1,1
"ENSG00000185650",4.0859059456245e-08,0.0248098928286463,5,1,-0.419220980350322,1,1
"ENSG00000176623",6.83999397105783e-07,0.00470055715464514,6,1,0.417314835889708,1,1
"ENSG00000159658",0.00615337441874634,0.0116548249571559,4,1,-0.416899684457717,1,1
"ENSG00000169660",0.00423051250864202,1,8,0,-0.416670004096657,1,0.833333333333333
"ENSG00000083544",0.0388718989528915,1,4,0,-0.416667550732537,1,0.833333333333333
"ENSG00000068305",0.00238701389744926,0.129083682022105,5,0,-0.416666693861061,1,1
"ENSG00000167962",0.00568290042958962,0.280994453415172,5,0,0.416666323974076,0.666666666666667,0.5
"ENSG00000129514",0.0379290014460581,0.0459782989387456,3,1,0.415584369614303,1,1
"ENSG00000119383",0.00786830285789351,1,4,0,-0.415135252233067,1,0.833333333333333
"ENSG00000100320",0.011919250227531,1,5,0,-0.414796501498109,1,0.833333333333333
"ENSG00000171867",4.41186459404632e-10,8.80557945159177e-05,3,1,0.414636698333412,1,1
"ENSG00000173442",5.64334948020391e-05,0.0390398818192628,8,1,-0.414277483213995,1,0.833333333333333
"ENSG00000137814",0.00911524760150708,0.622517576734591,4,0,-0.413902793488286,0.833333333333333,0.833333333333333
"ENSG00000173264",2.06090561225122e-11,1,11,0,-0.413793140569123,1,0.666666666666667
"ENSG00000122026",5.63588563173088e-205,2.04573770720221e-100,4,1,-0.411417438233678,1,1
"ENSG00000162073",0.0247516652080028,0,2,2,0.41083318470689,1,1
"ENSG00000109180",1.3479086988301e-15,2.57623007560685e-14,5,1,0.410646522772811,1,1
"ENSG00000258752",4.73894292901998e-05,0.0504443364889397,3,0,0.409989929338162,1,1
"ENSG00000111642",2.16083821177315e-14,1,9,0,0.409339478822793,1,1
"ENSG00000137473",0.000546480491143233,0.00482748685268172,6,1,0.409169937681143,1,1
"ENSG00000182196",1.0520117140761e-35,2.78122164989953e-09,5,1,0.408464786163518,1,1
"ENSG00000135535",1.70470784484143e-22,1,6,0,0.40790299118644,1,1
"ENSG00000086475",0.00951847854488069,0.0194635248295698,3,1,-0.403912002365694,1,0.833333333333333
"ENSG00000267673",1.47855786253326e-07,1,8,0,0.403824968479784,1,0.833333333333333
"ENSG00000130702",3.23697772926466e-10,1,10,0,0.403192427755812,1,0.833333333333333
"ENSG00000196275",4.85729276344672e-05,0.945660507866997,4,0,0.403017367278449,1,1
"ENSG00000161010",0.000167972144377883,0.273626084442808,6,0,-0.402461054395144,1,1
"ENSG00000110911",0.0250631418618751,1,6,0,0.400648315051812,1,0.5
"ENSG00000138777",2.04027526456049e-07,9.24451627979449e-07,5,2,0.400354179326689,1,1
