"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_UK_72hpi_adult_Infected-Basal_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000197728"	"ENSG00000197728"	1.0260086292913e-24	5.68446898954447e-26	3	3	0.765353961892755	1	1
"ENSG00000245910"	"ENSG00000245910"	5.53307988817942e-33	1.02931176222442e-25	3	1	-0.905882324959268	1	0.833333333333333
"ENSG00000130429"	"ENSG00000130429"	2.98085564307643e-47	2.10963082819853e-25	5	1	-0.368203354379906	1	1
"ENSG00000204387"	"ENSG00000204387"	2.84997201000528e-28	3.04164457878266e-22	3	1	0.697237774320387	1	1
"ENSG00000104529"	"ENSG00000104529"	3.08061334738496e-24	1.36883076694076e-21	3	2	-0.373591008890664	1	1
"ENSG00000172809"	"ENSG00000172809"	4.99790987503518e-18	9.90360018348759e-19	4	2	0.754025877833836	1	1
"ENSG00000105519"	"ENSG00000105519"	1.68414628455032e-37	1.53249420439962e-17	7	1	-0.376944127106249	1	1
"ENSG00000110852"	"ENSG00000110852"	5.52056514047745e-20	3.72828705723677e-17	4	1	0.8270870987315	1	0.833333333333333
"ENSG00000110492"	"ENSG00000110492"	2.72426656164153e-38	4.47265130548117e-17	6	1	-0.322542069282677	1	1
"ENSG00000110958"	"ENSG00000110958"	5.97275321522189e-26	4.60013375042171e-17	4	1	-0.421168895725227	1	1
"ENSG00000127125"	"ENSG00000127125"	4.84351746449382e-17	2.58586589952887e-16	5	2	0.428243445677739	1	1
"ENSG00000203875"	"ENSG00000203875"	1.05178095093699e-14	2.69750758923472e-16	4	2	0.448982365578551	1	1
"ENSG00000129235"	"ENSG00000129235"	3.917164239567e-34	5.74089743007111e-15	4	2	0.817766103377968	1	1
"ENSG00000230937"	"ENSG00000230937"	7.51103086084435e-29	8.01817509504718e-15	8	1	0.229946167757907	1	1
"ENSG00000150753"	"ENSG00000150753"	3.54616397783202e-28	8.46304503661657e-15	3	1	-0.396313569827846	1	1
"ENSG00000109180"	"ENSG00000109180"	1.3479086988301e-15	2.57623007560685e-14	5	1	0.410646522772811	1	1
"ENSG00000072778"	"ENSG00000072778"	2.82034526938419e-13	2.06167012070478e-13	4	1	0.248624980216033	1	1
"ENSG00000100129"	"ENSG00000100129"	4.40828232295951e-60	8.36251800367828e-12	5	1	0.667244400537247	1	1
"ENSG00000133665"	"ENSG00000133665"	1.44680692447816e-14	8.83437274357096e-12	4	1	-0.581348163254256	1	1
"ENSG00000160180"	"ENSG00000160180"	1.68522977942801e-26	5.56626655420054e-11	3	1	-0.440431710712286	1	1
"ENSG00000104164"	"ENSG00000104164"	3.07666694846755e-10	9.9819256012787e-11	3	2	0.213009640677586	1	1
"ENSG00000115661"	"ENSG00000115661"	2.73378137368046e-13	7.18156258454944e-10	4	1	-0.645517937763267	1	1
"ENSG00000196344"	"ENSG00000196344"	7.54932620265767e-42	7.58234339122842e-10	6	1	-0.366081331418167	1	1
"ENSG00000245532"	"ENSG00000245532"	2.12601473834561e-18	7.60072946416597e-10	4	3	0.326866139279351	1	1
"ENSG00000182196"	"ENSG00000182196"	1.0520117140761e-35	2.78122164989953e-09	5	1	0.408464786163518	1	1
"ENSG00000124795"	"ENSG00000124795"	6.65480217854962e-12	3.12184339208057e-09	5	1	-0.70587977533932	1	1
"ENSG00000004455"	"ENSG00000004455"	4.82611999332692e-12	3.41887244570708e-09	5	1	-0.470388450304077	1	1
"ENSG00000117394"	"ENSG00000117394"	7.94797354895617e-17	3.53114617435109e-09	3	2	-0.703625429231901	1	1
"ENSG00000183844"	"ENSG00000183844"	7.03168943231114e-09	4.62670594669812e-09	3	1	0.480333996922654	1	1
"ENSG00000204220"	"ENSG00000204220"	1.28999495126014e-10	9.54953714834166e-09	5	2	0.513097248208735	1	1
"ENSG00000153786"	"ENSG00000153786"	2.4307390563926e-08	9.62668436351998e-09	3	1	-0.658334954006438	1	1
