"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_UK_72hpi_child_Infected-Ciliated_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000185347",1.26769119461364e-05,1,6,0,-0.229324296418717,1,1
"ENSG00000175482",4.40551000341446e-17,0.00812348901219564,9,1,0.229172035325551,1,1
"ENSG00000165055",0.00526875731316403,0.0906842844667477,3,0,-0.228918439498049,1,1
"ENSG00000163597",8.51250051360618e-83,0.00267788678199294,10,1,0.228195459146479,1,1
"ENSG00000172058",0.0167955339493734,0.00515560365110315,3,1,0.227775765766745,1,1
"ENSG00000078808",7.46382909010172e-12,5.38245563119998e-10,3,1,0.22755071378123,1,1
"ENSG00000003756",6.2178176022621e-15,0.0621701785278689,6,0,-0.227447040404385,1,1
"ENSG00000160789",3.01216715764333e-27,1,3,0,0.227232291880246,1,1
"ENSG00000001631",7.25811529757551e-08,0.103991520551712,11,0,0.227219230363697,1,1
"ENSG00000095383",0.000154449891814552,0.00469232814874767,4,1,0.226975382160683,1,1
"ENSG00000104419",3.80687607878049e-07,6.11330041135444e-05,7,1,0.226962251599712,1,1
"ENSG00000106263",0.00893454589286905,0.00768294932197052,4,1,-0.226855004100572,1,1
"ENSG00000152767",0.000176223839292744,0.00266828822982124,4,1,-0.226634761930631,1,1
"ENSG00000135185",2.20314572464879e-18,1,6,0,-0.22575323260273,1,1
"ENSG00000156381",0.0333843360351939,0.0799418059512508,4,0,0.22562883700942,1,1
"ENSG00000189171",2.57897372381029e-14,0.000364503963537955,4,2,-0.225621615650593,1,1
"ENSG00000125166",1.35482267033421e-07,0.0026905501361614,4,1,-0.224951229078785,1,1
"ENSG00000174718",8.23010688737077e-09,0.318153572012817,9,0,-0.224501804890543,1,1
"ENSG00000113758",0.0276739676256938,0.216213431159731,4,0,0.224461005862545,1,1
"ENSG00000149179",0.000901115451486727,0.00618628254182057,8,1,0.224308887914897,1,1
"ENSG00000141580",1.50553824421086e-05,0.00104278576794791,4,1,0.224271101992255,1,1
"ENSG00000149043",0.00198699168309456,0.00680928885505751,7,1,-0.223875066211884,1,1
"ENSG00000141198",0.000166274542178804,0.0269905156960232,6,1,-0.223863442814969,1,1
"ENSG00000136235",0.000152893993914946,0.00329593983237361,6,1,-0.223853816229362,1,1
"ENSG00000146574",7.19266184197425e-05,0.341811225884279,4,0,0.223782686495398,1,1
"ENSG00000106330",0.00125707485189327,0.000671588834760332,3,1,-0.223782503073429,1,1
"ENSG00000141985",0.0275228891211117,0.185909850303655,4,0,0.2236951208824,1,1
"ENSG00000125826",5.2052294926868e-25,1,6,0,0.223652283211717,1,1
"ENSG00000171224",0.0322648338385925,0,2,2,0.223537903392395,1,1
