"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Cycling_basal_uninfected_child_Uninfected-Cycling_basal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000158435",0.0102107370252,1,5,0,0.436833485066015,1,1
"ENSG00000167136",0.0010235789922168,0.00585543805555149,3,1,-0.436492206334219,1,1
"ENSG00000104529",5.17835014533712e-08,5.39388955216315e-09,7,2,-0.435432965617722,1,1
"ENSG00000117151",0.000677940171640157,1,11,0,0.433687675293229,1,0.6
"ENSG00000186395",0.000449560216014656,0.171799837028914,6,0,0.428571428571429,1,0.8
"ENSG00000100592",0.00310527454297029,1,6,0,0.419990169677794,1,0.8
"ENSG00000173113",0.0048854290919354,0.0024764049248109,4,2,-0.418230313871317,1,1
"ENSG00000138674",0.0271728745237142,1,8,0,0.416666546477877,1,1
"ENSG00000129625",0.000238067871127865,0.00225195812052794,3,1,-0.413114922444327,1,1
"ENSG00000115380",0.00734288840605438,1,7,0,-0.411914581747726,1,1
"ENSG00000166710",5.52593344797498e-19,1,9,0,-0.406571871729364,1,1
"ENSG00000126581",0.0280192092893546,1,8,0,0.401428410939243,1,1
"ENSG00000263001",0.00859665390264117,0.570415662836743,5,0,0.400605329687484,1,1
"ENSG00000172590",0.046536152423119,1,13,0,-0.398353175885138,1,0.8
"ENSG00000139263",0.0156567588370527,1,6,0,0.397044575083589,1,0.6
"ENSG00000185650",0.00201000840753155,1,7,0,0.395309658041072,1,1
"ENSG00000185499",0.00117835395124815,0.302293964327984,9,0,-0.395098280296605,1,1
"ENSG00000112096",4.9653917682197e-05,1,7,0,-0.390398499412853,1,0.8
"ENSG00000270647",2.239232652999e-05,0.460612374834132,6,0,0.388903484341925,1,1
"ENSG00000141002",0.0150227130381518,0.080400234344775,10,0,-0.386231967282935,1,1
"ENSG00000175203",0.00313119593439042,0.00485895329921085,4,2,-0.386074079995992,1,1
"ENSG00000176209",0.00198948073857091,0.0981765318980687,8,0,-0.385281080483247,1,1
"ENSG00000149547",0.0367121555059968,1,9,0,-0.385270216253045,1,0.8
"ENSG00000158092",0.0276975042423322,1,6,0,0.384614871149083,1,1
"ENSG00000175550",3.65808206621706e-08,1,4,0,-0.384134550683371,1,1
"ENSG00000117395",1.95681435152681e-07,1,6,0,0.380730597917011,1,1
"ENSG00000149089",0.021109059149728,0.037565210803521,5,2,-0.3783837694713,1,1
"ENSG00000106052",0.00734288840605438,1,7,0,0.375839604691698,1,1
"ENSG00000100644",0.0347378612992375,1,9,0,0.375000001796873,1,0.8
"ENSG00000125944",9.27355612897146e-15,1,11,0,0.37451276911989,1,1
"ENSG00000105519",0.016756287311673,0.0585963114458137,11,0,-0.372549567801712,1,1
"ENSG00000178741",4.60303246179158e-15,5.99790842815619e-06,3,1,-0.36668838868671,1,1
