"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Suprabasal_VIC01_72hpi_child_Infected-Suprabasal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000122970"	"ENSG00000122970"	0.0235528306219944	0.0116422054350327	3	1	0.577178035578434	0.833333333333333	0.833333333333333
"ENSG00000204387"	"ENSG00000204387"	0.0295732480763277	0.0143951345798379	3	1	-0.285033213734689	1	1
"ENSG00000138777"	"ENSG00000138777"	0.00933690110373	0.0155702989791467	4	1	0.564757272263009	1	1
"ENSG00000164751"	"ENSG00000164751"	0.0141848503382227	0.0155855603019175	4	1	0.307413936685694	1	1
"ENSG00000186395"	"ENSG00000186395"	6.39270173829482e-05	0.0157927648628752	4	1	-0.479130982038081	1	0.833333333333333
"ENSG00000102854"	"ENSG00000102854"	4.39300704611567e-07	0.0172024241582761	10	1	0.309324860712967	1	1
"ENSG00000168259"	"ENSG00000168259"	1.83969320623184e-05	0.0178115641386098	4	1	-0.413974610891108	1	1
"ENSG00000158234"	"ENSG00000158234"	8.74696651474724e-13	0.0216590127178646	7	1	0.5348838000798	1	0.666666666666667
"ENSG00000118705"	"ENSG00000118705"	1.14773204373265e-05	0.0218940235458675	3	1	0.270101930352956	1	1
"ENSG00000152642"	"ENSG00000152642"	0.0145818255114891	0.022874073483935	3	1	-0.706129301306792	0.833333333333333	0.5
"ENSG00000177830"	"ENSG00000177830"	0.000598069091267669	0.0229798587255497	3	1	-0.581929958067316	1	1
"ENSG00000100519"	"ENSG00000100519"	0.04705386028142	0.0243389959305042	3	1	-0.193954312081699	1	1
"ENSG00000002586"	"ENSG00000002586"	0.010592006711396	0.0246452081829138	3	1	0.32641085729126	1	1
"ENSG00000159720"	"ENSG00000159720"	0.000157433897923778	0.0264529879932264	3	1	-0.218451113835069	1	1
"ENSG00000042753"	"ENSG00000042753"	0.011200869112245	0.0274374497682059	4	1	-0.176091529675287	1	1
"ENSG00000258752"	"ENSG00000258752"	5.43952917206161e-07	0.027595242176293	3	1	-0.441264229944719	1	1
"ENSG00000044115"	"ENSG00000044115"	0.00277557968808767	0.0278445238338723	4	1	0.600375792617502	1	1
"ENSG00000123395"	"ENSG00000123395"	0.00415243165787703	0.0284858784018111	4	1	0.209485399936246	1	1
