"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Suprabasal_VIC01_72hpi_child_Infected-Suprabasal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000065154",1.33396769184923e-05,2.98249650475264e-06,3,2,0.586747715907326,1,0.833333333333333
"ENSG00000197451",0.0016859029686171,0.000561331564198141,5,1,0.58602366386904,1,1
"ENSG00000146574",0.016232289328044,1,3,0,-0.585119478589668,0.833333333333333,0.833333333333333
"ENSG00000177830",0.000598069091267669,0.0229798587255497,3,1,-0.581929958067316,1,1
"ENSG00000196576",1.44201860074311e-05,1,6,0,0.581348727265485,1,0.833333333333333
"ENSG00000122970",0.0235528306219944,0.0116422054350327,3,1,0.577178035578434,0.833333333333333,0.833333333333333
"ENSG00000163634",4.75789214267367e-06,0.00222810061341293,4,1,-0.575308269834521,1,1
"ENSG00000198363",7.93180894795594e-05,1,7,0,-0.571430701350345,1,0.666666666666667
"ENSG00000187049",0.0153433445712849,0.147749959911334,4,0,-0.571427594901154,0.833333333333333,0.833333333333333
"ENSG00000121073",1.99284598735108e-05,0.0383579472932431,7,1,-0.568149897205567,0.833333333333333,0.666666666666667
"ENSG00000166971",0.00392592605524203,0.18855417423729,5,0,0.567017158498716,1,0.666666666666667
"ENSG00000108592",0.0117749589114716,1,3,0,-0.565566033237477,0.833333333333333,0.833333333333333
"ENSG00000278311",0.000327622255548072,1,5,0,0.56521662271422,1,1
"ENSG00000138777",0.00933690110373,0.0155702989791467,4,1,0.564757272263009,1,1
"ENSG00000172785",0.000621744249835924,1,6,0,0.56210873089645,1,0.666666666666667
"ENSG00000230124",1.76301390864711e-16,1,5,0,0.561028126675814,1,1
"ENSG00000114125",4.22864371140665e-09,1.0282296270606e-05,4,1,0.559368508037297,1,1
"ENSG00000175274",0.0161022668946948,1,4,0,0.558767954943481,1,0.833333333333333
"ENSG00000107164",0.00277557968808767,1,4,0,-0.556987241983287,0.833333333333333,0.833333333333333
"ENSG00000102738",4.30215093203088e-21,1,5,0,-0.556934234520663,1,1
"ENSG00000138381",6.08393091578825e-05,1,4,0,-0.556107085872883,1,1
"ENSG00000108946",0.000219730614250896,1,9,0,-0.554864563300321,1,0.5
"ENSG00000178585",2.09171052053735e-06,9.19463393832485e-06,6,1,-0.55245160530683,0.833333333333333,0.833333333333333
"ENSG00000111834",0.00817352553657223,0.00700846673853066,3,1,0.55202817748493,1,0.833333333333333
"ENSG00000163399",1.25149870854134e-31,0.000113072960029705,6,1,-0.552001640980584,1,1
"ENSG00000187522",0.00574761267967443,0.287726820921981,3,0,-0.55107149025503,1,0.833333333333333
"ENSG00000095383",0.000794950676543738,1,4,0,0.550661464939811,1,0.833333333333333
"ENSG00000184007",1.07519224284698e-06,0.000373806680687081,3,1,0.548385920664332,1,1
"ENSG00000173486",3.34202260117432e-21,1.76376988109218e-10,4,1,-0.547119531067818,1,1
"ENSG00000135926",5.65262922245866e-05,0.00122761962843369,4,1,-0.541920119894621,1,1
"ENSG00000149547",1.55673399949966e-09,4.21140040757371e-06,3,1,-0.540892817172744,1,1
"ENSG00000184709",5.52433351973989e-05,0.642797783078974,3,0,0.540683175950364,1,1
"ENSG00000176155",0.00953525467272013,1,4,0,-0.539450552331415,1,0.833333333333333
"ENSG00000163714",0.00073824690299949,1,5,0,0.539360757620165,1,0.5
"ENSG00000158234",8.74696651474724e-13,0.0216590127178646,7,1,0.5348838000798,1,0.666666666666667
"ENSG00000108669",0.00187343726042978,1,4,0,0.529272903739922,0.833333333333333,0.666666666666667
"ENSG00000110321",1.03113857154396e-13,5.92251820652826e-09,8,1,0.526142580982319,1,1
"ENSG00000083535",0.0209059050930878,0,2,2,-0.524748754394006,1,1
"ENSG00000155749",7.43847564433851e-05,0.448189390087906,4,0,0.524512914998961,1,0.833333333333333
"ENSG00000115561",1.65014631494065e-10,0.0908627166126482,4,0,0.522554691428277,1,1
"ENSG00000149273",7.42663659839512e-212,0,2,2,0.521772474159757,1,1
"ENSG00000157778",0.00295275922652337,1,6,0,0.519999840749905,1,1
"ENSG00000051620",6.08110167025091e-20,3.42097809643158e-08,4,1,0.518393973523636,1,1
"ENSG00000109390",0.000900015777130868,0.000238189627063836,3,2,-0.513641064271613,1,0.833333333333333
"ENSG00000182087",0.0154078826967916,0.293569951279919,8,0,-0.513544409529296,1,1
"ENSG00000167900",0.0428887933506182,1,3,0,-0.513373394018962,0.833333333333333,0.666666666666667
"ENSG00000120438",1.57874838695798e-12,5.09741840416267e-06,6,1,-0.511740040181999,1,1
"ENSG00000095596",0.00827165364306042,0.205270445317531,3,0,-0.510353805539916,1,0.833333333333333
"ENSG00000104529",1.60952151780869e-15,2.99260057807848e-14,3,2,0.508097350147846,1,1
"ENSG00000122783",0.038916946110715,0.657701071454896,3,0,0.503415708518752,1,0.833333333333333
"ENSG00000141424",0.00417229796170829,0.0698467428341725,4,0,0.50305876440461,0.833333333333333,0.666666666666667
"ENSG00000166949",0.0196235965929616,1,4,0,-0.501720671009656,0.833333333333333,0.666666666666667
"ENSG00000151881",0.035753297057904,1,4,0,-0.5,1,0.833333333333333
"ENSG00000177570",0.0162044897254569,1,4,0,-0.5,1,0.833333333333333
"ENSG00000280071",0.0030470844173806,0.100591829891998,3,0,-0.5,1,0.833333333333333
"ENSG00000155324",0.0263542390798915,1,5,0,-0.499999999999998,1,0.666666666666667
"ENSG00000173511",0.029187349422147,1,5,0,-0.49999750651446,0.833333333333333,0.833333333333333
"ENSG00000085224",0.00478889476340505,1,6,0,-0.498260316356549,1,0.833333333333333
"ENSG00000128923",0.0216250408551749,0.0656488334644882,3,0,0.497854291042428,1,1
"ENSG00000165175",9.86512088184289e-05,0.0105930221664769,4,1,0.495629642176755,1,1
"ENSG00000173171",5.37874751234267e-06,0.00100972099035075,5,1,-0.495382520764365,1,1
"ENSG00000185515",0.0329901571851412,1,4,0,-0.49529074588569,1,0.833333333333333
"ENSG00000107949",6.66623709197061e-05,0.00665964535339648,4,1,-0.495048081863245,1,1
"ENSG00000100225",0.00130581963810933,0.0107159255262476,5,1,0.494075086217481,1,0.833333333333333
"ENSG00000177425",0.00437192468719975,1,7,0,-0.493162309712888,1,0.833333333333333
"ENSG00000127914",0.000158256127408403,1,5,0,0.492089304609795,1,0.666666666666667
"ENSG00000086475",0.0223790066068141,1,4,0,-0.49184021787983,0.833333333333333,0.833333333333333
"ENSG00000090487",0.00014268414933429,0.0822579327106118,6,0,0.488324491865933,1,1
