"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Cycling_basal_UK_72hpi_child_Infected-Cycling_basal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000206073",0.00767549342926879,1,3,0,-0.163011558589535,1,1
"ENSG00000069849",0.00505194391042798,1,3,0,-0.162208871196633,1,1
"ENSG00000161203",2.34746588578921e-07,1,5,0,-0.161903930442327,1,1
"ENSG00000160188",0.000950694382845298,1,6,0,0.161659420178235,1,1
"ENSG00000165949",0.0355353838516739,1,4,0,-0.155818992003084,1,1
"ENSG00000170477",0.0315405407787328,1,4,0,0.152392271224693,1,1
"ENSG00000115310",0.00304199156455507,1,8,0,-0.150276800370562,1,1
"ENSG00000205581",0.00935228245858438,0.0409442175801872,4,1,0.148852621821847,1,1
"ENSG00000198074",0.00767549342926879,1,4,0,-0.144629614606963,1,1
"ENSG00000143222",0.00012942687763632,1,5,0,-0.138298393028626,1,1
"ENSG00000154723",0.0396828962912503,1,5,0,0.131871314316994,1,1
"ENSG00000087460",1.89724688353433e-05,1,15,0,-0.131147540983607,1,1
"ENSG00000143819",0.00122336264819407,1,6,0,-0.125461935867193,1,1
"ENSG00000196154",0.0446668653198222,1,3,0,0.12089194050425,1,1
"ENSG00000138326",1.32639289533137e-07,1,4,0,-0.115868632905585,1,1
"ENSG00000108244",0.00530498473029674,1,4,0,-0.114700252596735,1,1
"ENSG00000167468",0.00866785407270384,1,3,0,0.104686688383649,1,1
"ENSG00000148180",0.00296220775961293,1,7,0,0.100605419083926,1,1
"ENSG00000119655",0.0172294456827998,1,3,0,0.0968810245560824,1,1
"ENSG00000112335",0.026043311264443,1,7,0,0.0922310929864352,1,1
"ENSG00000106211",2.824389599627e-06,1,3,0,-0.0896019749681857,1,1
"ENSG00000165272",1.06981472331717e-12,1,3,0,0.0839623524562965,1,1
"ENSG00000123416",0.0274144146520054,1,3,0,-0.0811156639168893,1,1
"ENSG00000187514",0.000603122577380678,1,3,0,0.0608261672777981,1,1
"ENSG00000057149",0.0167562387288519,0,2,2,0.053276771834598,1,1
"ENSG00000197353",0.0235003389030047,0,2,2,-0.0377953040862082,1,1
"ENSG00000117450",0.000603122577380678,1,3,0,0.0360439084328348,1,1
