"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_VIC01_72hpi_child_Infected-Basal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000178585",1.03351539478537e-06,1.24181407919566e-05,5,1,-0.537474471267438,1,1
"ENSG00000164904",1.11772066488368e-07,1,8,0,0.535344013276204,1,0.5
"ENSG00000029363",2.46080404919791e-06,1,8,0,-0.53305166505862,1,0.666666666666667
"ENSG00000128699",0.0397291034260402,1,4,0,0.530302213881611,1,1
"ENSG00000075151",0.000168599585545086,1,7,0,0.529411182762586,1,0.833333333333333
"ENSG00000103342",0.00108362725560387,1,4,0,-0.528771142569505,1,1
"ENSG00000100979",0.000291190154676541,0.0320562157247458,4,1,-0.525399365193426,1,0.833333333333333
"ENSG00000136826",0.00228289972654087,0.00462837296268354,4,1,-0.524852971962163,1,1
"ENSG00000099956",0.0108609999117443,0,2,2,-0.524751275535132,1,1
"ENSG00000117751",0.0380250673649646,1,4,0,0.524046075376916,0.833333333333333,0.666666666666667
"ENSG00000051620",1.19221790252309e-19,1.39713117782856e-11,4,1,0.523809796175654,1,1
"ENSG00000178741",2.02795639486753e-25,1.60854519562575e-15,3,1,0.523183769914614,1,1
"ENSG00000170425",0.0150873628609339,1,3,0,-0.519740545249573,0.833333333333333,0.666666666666667
"ENSG00000080824",3.94478504940268e-12,2.97736052978461e-10,3,1,-0.51920336742737,1,1
"ENSG00000149273",2.51598686210761e-169,0,2,2,0.518296013952643,1,1
"ENSG00000047457",1.23385482556196e-06,1,8,0,0.516422721555774,1,0.5
"ENSG00000160688",0.0231713139014869,1,3,0,0.515437697746558,0.833333333333333,0.666666666666667
"ENSG00000070731",0.0250895123716232,0.223535700075686,4,0,0.515151510776938,1,0.833333333333333
"ENSG00000105821",0.019848892109297,0.676746743191311,5,0,-0.514575988251717,1,0.833333333333333
"ENSG00000068120",0.00650947523073118,0.0172438950082031,4,1,0.513742017560128,1,1
"ENSG00000157778",0.0298407293088154,0.0443471754468718,5,1,0.509090756435753,1,0.833333333333333
"ENSG00000152763",0.00107915725763054,1,5,0,-0.505519408324737,1,0.833333333333333
"ENSG00000117395",0.000118273577089046,0.0542311282805352,4,0,-0.504420486548231,1,1
"ENSG00000133818",5.39386509965635e-05,0.0818067105338645,4,0,-0.50355415552768,1,0.833333333333333
"ENSG00000278311",0.0366392273062782,1,5,0,-0.503508233689555,1,0.666666666666667
"ENSG00000168310",0.000830330649241524,0.0425840465341118,5,1,0.503026844567758,1,0.833333333333333
"ENSG00000116661",4.20687844906403e-09,1,3,0,-0.502580057432284,1,1
"ENSG00000120438",1.30529060672658e-05,0.0070788654503903,3,1,-0.502111436838685,1,1
"ENSG00000115685",0.00377028969111762,1,5,0,0.502088950255521,1,0.833333333333333
"ENSG00000136560",0.0358354366650934,0.0169125750543355,4,1,0.499999999996969,1,1
"ENSG00000116729",0.0146508816891278,1,6,0,-0.499999889330694,0.666666666666667,0.666666666666667
"ENSG00000173801",9.8675441898021e-12,0.120373855908328,7,0,-0.499999360478578,1,1
"ENSG00000214022",0.00059782554206573,0.823051602417025,5,0,-0.499997057157569,1,0.833333333333333
"ENSG00000125944",2.32486021140074e-18,1,9,0,-0.499994287616251,1,0.833333333333333
"ENSG00000158234",1.25022799650785e-05,0.591899436307334,5,0,-0.499506857523716,1,0.666666666666667
"ENSG00000100722",0.00579825197962811,1,3,0,0.498421295163552,1,0.833333333333333
"ENSG00000104695",9.44997861947604e-12,2.58702796549887e-08,5,1,0.495901852585555,1,1
"ENSG00000116285",0.00022957764768048,0.000156966222053159,3,1,0.494468201353676,1,1
"ENSG00000196642",0.0236409068665872,0,2,2,0.494341762843393,1,1
"ENSG00000136830",0.0138542696725699,0.314274008223112,3,0,-0.494027612963551,1,0.833333333333333
"ENSG00000258752",7.03008068132085e-05,0.0226479579465536,3,1,-0.491014749396947,1,1
"ENSG00000149547",8.1136126623456e-06,0.000218951229760735,3,1,0.487277710487234,1,1
"ENSG00000101144",0.0157139061392089,0,2,2,-0.48487782378244,1,1
"ENSG00000183421",0.016118061697982,0.159454641331876,3,0,-0.484752842644465,1,1
"ENSG00000100359",3.84200261399777e-09,0.00830304155983402,8,1,0.478223038759338,1,0.833333333333333
"ENSG00000256061",3.05790353815128e-05,1,5,0,0.477294102391772,1,0.833333333333333
"ENSG00000177459",0.0185352400276531,0.0310599623535012,3,1,0.476683762573307,1,1
"ENSG00000108587",8.1136126623456e-06,1,4,0,-0.474934294688919,1,1
"ENSG00000067334",0.0231713139014869,1,3,0,0.471302430823572,1,1
"ENSG00000013275",3.87430310501767e-09,0,2,2,0.467091061832627,1,1
"ENSG00000114125",7.86841464283465e-09,0.00920483559661478,3,1,-0.466585336300297,1,1
"ENSG00000104765",0.0430563829306592,0.108397588256711,3,0,0.465661132946451,1,1
"ENSG00000205981",0.00697742607425316,0.31289953767609,5,0,0.462293874018503,1,0.833333333333333
"ENSG00000103415",0.0332066556417698,0.0411375093091747,3,1,-0.460258583381656,1,1
"ENSG00000184007",6.89707403030137e-06,2.42649577639794e-05,3,1,-0.45747606586055,1,1
"ENSG00000135951",0.00716209463087662,0.914974810143649,5,0,-0.457131776946131,1,0.833333333333333
"ENSG00000102738",4.28487929772119e-23,1,5,0,-0.456851458597961,1,1
"ENSG00000167986",0.0498055443907389,0.0338294110394734,3,1,-0.454815784562316,1,1
"ENSG00000004455",3.05823645169498e-05,0.0039472397214797,4,1,-0.454545454543054,0.833333333333333,0.833333333333333
"ENSG00000129187",0.0108609999117443,1,6,0,-0.45454472387098,1,0.833333333333333
"ENSG00000070756",1.32186478162349e-16,4.58709093890529e-09,6,1,0.450896127459525,1,1
"ENSG00000100592",0.00811647858925323,1,5,0,-0.449800127732714,1,1
"ENSG00000044115",0.049081547036169,1,5,0,0.448558575212336,1,0.666666666666667
"ENSG00000115561",9.02914253878038e-09,9.3471668542833e-06,3,1,0.448529502902799,1,1
"ENSG00000183742",0.0200952768768055,0.578329637584764,5,0,-0.448405458635793,1,0.833333333333333
"ENSG00000145779",0.00249089806689767,1,5,0,0.448289161429812,1,0.833333333333333
"ENSG00000133265",0.00015181585115214,0.000657472971706253,5,1,0.447618649084768,1,1
"ENSG00000102854",3.61472381735436e-08,0.718411933860683,8,0,0.447080036388892,1,0.833333333333333
"ENSG00000185055",0.048083039793137,0.0566827104053986,4,0,0.444899206378343,1,1
"ENSG00000148719",0.000657430007883115,1,8,0,0.444872247036989,1,0.833333333333333
"ENSG00000160113",1.06673484522043e-10,2.24594479344632e-07,4,2,-0.434061198139945,1,1
"ENSG00000132581",5.1208389926706e-06,1,4,0,0.432443515688817,1,0.833333333333333
"ENSG00000167920",0.0035864054709458,0.00850846450382284,6,1,-0.431737533809121,1,0.833333333333333
"ENSG00000184709",0.00387946249048362,1,3,0,0.431349848333303,1,1
"ENSG00000132470",3.89456564561535e-05,1,7,0,-0.428572071555322,1,1
"ENSG00000135052",1.74093673949046e-05,0.642308384761147,4,0,0.427341003581649,1,1
"ENSG00000177879",0.000756956772853921,0.000359494420603745,3,1,0.423145525748171,1,1
"ENSG00000175334",5.70125219596068e-11,1,5,0,0.420548808613847,1,1
"ENSG00000183172",0.00296733077377411,0.0258747824166464,6,1,0.419351790585482,1,1
"ENSG00000114209",1.34891990645189e-07,0.00379418643351571,7,1,0.419050293955122,1,0.833333333333333
