"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_UK_72hpi_child_Infected-Secretory_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000151689",3.91180549049083e-10,1,6,0,-0.309689873258793,1,1
"ENSG00000073921",0.000481031302545183,1,5,0,-0.309688465226355,1,1
"ENSG00000169045",1.14794710282906e-08,0.000410873725001729,7,1,0.308872267815478,1,1
"ENSG00000124155",0.0168208642163347,0.572325236540762,4,0,-0.308499089713527,1,1
"ENSG00000106348",0.0104717136838596,1,6,0,-0.30843602819041,1,0.833333333333333
"ENSG00000176393",2.47413814635252e-07,1,5,0,-0.307692468197394,1,1
"ENSG00000166797",6.38919049861311e-05,0.0118523319240754,4,1,-0.307676510646774,1,1
"ENSG00000189223",6.8229830889679e-05,1,8,0,-0.306422971518325,1,0.666666666666667
"ENSG00000073584",1.85273318461287e-23,1,11,0,-0.306155461136637,1,0.833333333333333
"ENSG00000110492",2.23948661386396e-41,5.30253297612628e-18,5,1,-0.305030913693024,1,1
"ENSG00000166949",0.0430044417251387,0.660786574129497,4,0,-0.304347260123732,0.833333333333333,0.833333333333333
"ENSG00000143207",0.000480953909221634,1,7,0,-0.304222127123241,1,0.833333333333333
"ENSG00000126602",0.0028617591828168,0.000425027179752832,3,2,-0.304178854786967,1,1
"ENSG00000116350",4.38220865293927e-13,6.43006689850985e-06,3,1,0.304096819101342,1,1
"ENSG00000231064",0.0439967879047319,1,5,0,-0.303756678610691,1,0.666666666666667
"ENSG00000187049",0.0358477030506587,1,4,0,-0.303497358526814,1,1
"ENSG00000007174",5.03531420767159e-09,0.487479322389319,6,0,-0.302911955763559,1,1
"ENSG00000100129",2.51072144544421e-38,1,6,0,0.30279367225204,1,1
"ENSG00000167685",1.63503373761087e-05,1,4,0,0.302779113357879,1,1
"ENSG00000105698",0.000335004914871737,0.243623579692984,3,0,0.30270535465805,1,1
"ENSG00000187522",0.000724847746786345,1,5,0,0.301576974737501,1,1
"ENSG00000102226",0.0278886994115404,1,7,0,0.300817394125152,1,1
"ENSG00000094755",3.30766817456521e-09,0.316945460409729,8,0,0.30033653064979,1,1
"ENSG00000108578",2.36848060759668e-07,0.0289245062367823,4,1,-0.300264480434651,1,1
"ENSG00000136305",0.000626046512426758,1,7,0,0.300133122620132,1,1
"ENSG00000114316",0.00169576249110901,1,7,0,-0.300000543027868,1,0.666666666666667
"ENSG00000080503",3.76323256363651e-10,0.12347296930667,9,0,0.300000000060267,1,0.666666666666667
"ENSG00000115561",1.08627627519829e-35,1.09929933529238e-05,4,1,0.299975644145134,1,1
"ENSG00000120910",0.0276039366137919,0.170952407277313,3,0,0.299542309876539,1,1
"ENSG00000171124",0.000543042203348734,0.0308417828033795,6,1,-0.299017262914556,1,1
"ENSG00000104611",5.58442153183963e-12,0.0352813350506328,7,1,-0.298883982770416,1,1
"ENSG00000131981",1.08957164256626e-226,5.79093525955044e-122,3,1,-0.298360497766488,1,1
"ENSG00000147533",0.0385648971603951,0.130691130241082,3,0,0.297828256602992,1,1
"ENSG00000226328",0.0034740160623988,1,5,0,-0.297596156857126,0.833333333333333,0.666666666666667
"ENSG00000132481",5.15450716525997e-07,1,5,0,0.297342021347819,1,0.833333333333333
"ENSG00000143398",0.000510299147801165,0.0307506413274386,4,1,-0.29732760021776,1,1
"ENSG00000205133",0.00327731741068828,1,6,0,-0.296966547140801,0.833333333333333,0.833333333333333
"ENSG00000204385",4.49397281309552e-13,1,5,0,-0.296805623905878,1,1
"ENSG00000168994",0.00139926344386443,0.0677434324369831,4,0,-0.296296633532139,1,1
"ENSG00000150779",1.00837620220566e-13,0.00408754032719537,6,1,-0.295956381475557,1,1
"ENSG00000135925",3.20841922711519e-05,1,5,0,-0.295949468527576,1,1
"ENSG00000070081",1.09428320804132e-06,1,5,0,0.295460651054078,1,1
"ENSG00000250510",0.0214321606832009,1,5,0,-0.294847875329457,1,1
"ENSG00000156256",0.000244635496347575,0.367206300144749,5,0,-0.294717173911397,1,1
"ENSG00000173588",0.0015637528106386,0.410576502526671,6,0,0.294493690688687,1,0.833333333333333
"ENSG00000111912",1.36698570660697e-18,3.24111113378681e-15,5,1,0.293832643242923,1,1
"ENSG00000005486",1.30763646904387e-05,0.142775280600028,7,0,0.293602180219179,1,1
"ENSG00000121310",0.000161908804796969,0.125240252696654,7,0,0.293069298269107,1,1
"ENSG00000172239",1.72737366720407e-20,0.454095555589762,8,0,0.292547436022568,1,1
"ENSG00000071127",2.56742721583494e-06,0.0529393452638444,4,0,-0.290828585024704,1,1
"ENSG00000090487",4.58316088827519e-06,1,4,0,0.290108497674703,1,1
"ENSG00000116663",0.0350849935576715,0.626547843268577,3,0,0.289454244180978,1,1
"ENSG00000164172",1.70670947689306e-10,0.288206331841424,4,0,-0.289085885139645,1,1
"ENSG00000113163",0.000764728338020889,0.0088753613905786,5,1,-0.288888494188948,1,1
"ENSG00000261183",0.00725469323783963,0.00239206066119952,3,2,-0.288635955780207,1,1
"ENSG00000171720",5.24213731883539e-07,0.622082029606377,5,0,-0.288574723848926,1,1
"ENSG00000164924",1.43082847801818e-12,1,9,0,-0.288284057302144,1,1
"ENSG00000196118",0.0423448478080775,0.0785856393697001,6,0,0.287878292576611,1,0.833333333333333
"ENSG00000197746",0.0425937211384995,0,2,2,-0.287666696532272,1,1
"ENSG00000124596",2.42514039886626e-13,1,11,0,-0.287570547585829,1,1
"ENSG00000119977",0.0182585983440523,0.264397603031273,4,0,-0.287240371089843,1,0.833333333333333
"ENSG00000143401",1.14074990342329e-06,0.24827360680051,5,0,-0.28721212632909,1,0.833333333333333
"ENSG00000163472",3.51640109535812e-07,1,5,0,0.286565150999888,1,1
"ENSG00000107960",0.0339418725682608,0.0221049277288962,3,1,0.286484173231012,1,1
"ENSG00000150527",0.000119194449960292,0.108927779632753,6,0,-0.286130426978941,1,1
"ENSG00000134779",3.53461224375831e-22,0.000502014111637438,9,1,0.285714571852622,1,1
"ENSG00000120992",4.25595910989252e-08,0.0116605078576144,4,1,0.285091151764561,1,1
"ENSG00000157601",1.10811481934267e-17,0.025220235076974,5,1,-0.285073746234445,1,0.833333333333333
"ENSG00000148985",3.68874872551711e-06,0.297935317343751,8,0,-0.284945748128079,1,1
"ENSG00000155329",6.15060442633205e-07,0.0134556920835322,8,1,0.284347038925391,1,1
"ENSG00000108604",0.0323000140556908,0.0548107017976606,3,0,0.28366652477108,1,1
"ENSG00000168575",4.32459961824161e-08,0.062714518232337,7,0,0.283315381902613,1,1
"ENSG00000081665",0.00376071685835541,1,6,0,0.282882558739658,1,0.833333333333333
"ENSG00000175354",5.43448739236095e-07,0.221536049223525,7,0,0.282584075004159,1,1
"ENSG00000119333",7.1491874792086e-26,0.000173272463188774,6,1,-0.282358538767106,1,1
"ENSG00000103194",0.00197517614932365,0.155703937031253,4,0,0.282318211259281,1,1
"ENSG00000167969",6.5806049256463e-14,1.57916843943707e-05,5,1,-0.281680257438211,1,1
"ENSG00000125844",2.67988468949149e-17,0.00189479004223565,7,2,0.281611330648907,1,1
"ENSG00000151092",0.000180236362004918,1,6,0,-0.281250117661224,1,0.833333333333333
"ENSG00000161036",0.00214204525312722,0.00361079817578994,4,1,0.281053881278854,1,1
"ENSG00000274265",1.42705576895322e-10,0.914776684512422,7,0,0.280701493721695,1,1
"ENSG00000128016",1.71425032457213e-25,7.71451191335691e-26,3,1,0.28016261612596,1,1
"ENSG00000100221",0.0297795477872527,0.111675378084196,3,0,0.280105467538635,1,0.833333333333333
"ENSG00000149547",1.18217756552243e-07,1,8,0,-0.280081546846745,1,1
"ENSG00000089335",0.00428188602963585,0.497571232901945,6,0,-0.279984713905562,1,0.833333333333333
