"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_Ciliated_UK_72hpi_child_Infected-Secretory_Ciliated_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000100129",0.00128100160012117,0.00528648367610556,7,1,0.412795123072777,1,1
"ENSG00000138668",0.000143548637574905,1,9,0,0.409088532221379,1,1
"ENSG00000089127",0.0301207699214148,0.119606996790538,8,0,-0.408782089182155,1,0.8
"ENSG00000243955",4.33921043200013e-06,0.00435506104641475,3,1,-0.4081615468813,1,1
"ENSG00000214078",0.0220443999997499,1,10,0,-0.402255586687707,1,0.8
"ENSG00000042753",0.00137321220460542,0.000205195135704551,6,2,-0.400538757518496,1,1
"ENSG00000130429",5.55817886615098e-15,3.4908497305381e-11,5,1,0.398452121595003,1,1
"ENSG00000125868",0.0146141240759303,0.209255561401477,3,0,-0.391399286310809,1,1
"ENSG00000167996",2.66350661123834e-28,6.98208753503694e-31,4,2,0.377806037338117,1,1
"ENSG00000163584",2.01305508897781e-14,0.563994698631745,4,0,0.372880365038985,1,1
"ENSG00000122026",2.3859595408889e-47,4.39273631010107e-21,3,1,0.361992062106459,1,1
"ENSG00000110958",4.77884084713579e-05,0.0786011004605746,7,0,-0.359928957984988,1,1
"ENSG00000163931",1.08129843803101e-06,3.40091234003314e-06,3,2,-0.354441478256224,1,1
"ENSG00000178741",0.00917953521055606,0.00129643629806158,3,2,-0.340508606435112,1,1
"ENSG00000156508",5.84092963322209e-113,0,2,2,-0.334135649368279,1,1
"ENSG00000189403",1.11564032843226e-12,0.0191286879535784,8,1,0.327966541839022,1,1
"ENSG00000175550",0.00531377282803455,1,4,0,-0.31892442669214,1,1
"ENSG00000173812",7.36964836628471e-13,3.03382096891867e-10,5,1,-0.307790059629924,1,1
"ENSG00000113732",0.000390756830537259,0.010591167854027,4,1,0.304424664243742,1,1
"ENSG00000160752",0.000762086947734453,1,13,0,0.303167766787064,1,1
"ENSG00000133226",2.62016974759426e-07,1,8,0,-0.303030998079289,1,1
"ENSG00000113648",0.0123387969030888,0.00205036315786625,7,1,0.30173351665438,1,1
"ENSG00000096746",0.00100186600923794,1,13,0,-0.29166666496233,1,1
"ENSG00000171604",6.16836891133509e-05,1,9,0,0.285714014140108,1,1
"ENSG00000072210",1.39396895448984e-07,1,15,0,0.278537489303265,1,1
"ENSG00000171314",1.03338334583008e-05,1,5,0,-0.26304687066333,1,1
"ENSG00000115457",0.034436432481841,1,7,0,0.26251653062112,1,1
"ENSG00000160188",0.000286005310518109,0.52500854582817,4,0,0.25839227064148,1,1
"ENSG00000129625",0.000515660527168923,0.252651926637123,3,0,-0.257143394521127,1,1
"ENSG00000132341",0.000236455591720017,1.19399337274653e-05,5,2,0.253681158165751,1,1
"ENSG00000087077",0.0258721386814857,0.0602683766548528,5,0,0.251434458995888,1,1
"ENSG00000197956",3.00530468213912e-89,1,3,0,-0.250797963186456,1,1
"ENSG00000230937",2.33611796950932e-09,1,12,0,-0.247190830660304,1,1
"ENSG00000122378",0.0375497869092361,1,6,0,0.237784627624945,1,1
"ENSG00000152795",0.0134585296074209,1,5,0,-0.23673361256535,1,1
"ENSG00000161203",1.22206197067208e-05,1,4,0,-0.22887749364841,1,1
"ENSG00000081870",0.000754869803918594,1,6,0,0.228386349565295,1,1
"ENSG00000165949",0.000428295187878943,0.000280157270339173,4,2,-0.215878085635343,1,1
"ENSG00000169223",0.00943754501769251,1,4,0,0.215103431891778,1,1
"ENSG00000117525",3.10939153443847e-06,1,7,0,-0.211110109894379,1,1
"ENSG00000163739",0.000592384129471579,0.00618761700966786,5,1,-0.199457146895884,1,1
"ENSG00000100650",0.00412717465645583,0.0871903637212653,7,0,-0.196427442356889,1,1
"ENSG00000132475",0.00453004129340422,0.000501531409758717,4,1,-0.195515903472568,1,1
"ENSG00000143222",1.04149739211919e-06,0.502701934354862,4,0,0.192065262850792,1,1
"ENSG00000196154",2.55533198443351e-05,0.16179922653076,4,0,-0.184766120813458,1,1
"ENSG00000166598",0.0098516167918029,1,6,0,-0.182515515444386,1,1
"ENSG00000114942",5.24955976270865e-17,1,3,0,-0.177915345736317,1,1
"ENSG00000213719",4.91604806294739e-18,1,5,0,0.175456367703306,1,1
"ENSG00000130066",6.45047280225536e-14,1,6,0,0.165371902459782,1,1
"ENSG00000234745",0.00181656597452978,1,4,0,0.161026970657579,1,1
"ENSG00000136810",7.22924113099028e-51,1,4,0,0.149524503429316,1,1
"ENSG00000100219",0.0236834413075202,1,8,0,0.148963397372351,1,1
"ENSG00000115875",0.00305190641929695,1,7,0,-0.145875539354082,1,1
"ENSG00000128422",1.80838410345692e-08,1,3,0,0.14153057352055,1,1
"ENSG00000131495",0.0219837804816259,1,3,0,0.135096451643318,1,1
"ENSG00000163466",3.23713512708459e-05,1,5,0,-0.130497237031537,1,1
"ENSG00000170477",0.00775885227059254,1,7,0,0.125840899453745,1,1
"ENSG00000122705",0.000163599115600536,1,3,0,-0.124420403507168,1,1
"ENSG00000087460",0.00250621625474228,1,16,0,-0.108701372657568,1,1
"ENSG00000108654",0.0152541148269765,1,10,0,-0.105102108563161,1,1
"ENSG00000075624",0.000428295187878943,1,4,0,-0.102789118888879,1,1
"ENSG00000166165",7.07649850960624e-05,1,5,0,-0.101259260911379,1,1
"ENSG00000205420",3.52086093157841e-12,1,3,0,0.0927377557444399,1,1
"ENSG00000187514",4.83080281689632e-10,1,3,0,0.0918338596660383,1,1
"ENSG00000161798",0.00160388900505728,1,3,0,0.0871415091157813,1,1
"ENSG00000144713",6.30652910840415e-06,0,2,2,0.0783892220802083,1,1
"ENSG00000148180",0.0180647126897744,1,10,0,0.0756242284538491,1,1
"ENSG00000106541",0.0342713806877902,1,3,0,0.0553008879536805,1,1
"ENSG00000106211",6.88195116284931e-08,1,4,0,-0.0540179334669738,1,1
"ENSG00000089157",0.0199758999845044,0,2,2,-0.0511668928131074,1,1
"ENSG00000171345",0.0243143712677505,0,2,2,-0.0297853166820256,1,1
