"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Goblet_uninfected_child_Uninfected-Goblet_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000176124",0.00073262514167946,0.773237038482496,3,0,0.693077516959245,0.833333333333333,0.666666666666667
"ENSG00000122218",0.00843964901771885,0.00960457914503788,4,1,0.692968957153421,0.666666666666667,0.5
"ENSG00000171552",6.0620272080527e-06,1,6,0,-0.69288116893195,1,0.5
"ENSG00000143379",0.00336067472742816,0.953178096980724,4,0,-0.686398648954596,0.833333333333333,0.5
"ENSG00000196510",1.71253910823708e-05,1,3,0,0.683088708787574,0.833333333333333,0.666666666666667
"ENSG00000233223",0.000148130310519479,1,5,0,-0.682630518547377,1,0.5
"ENSG00000090263",9.24498065041988e-44,1,6,0,-0.680597798893356,1,0.833333333333333
"ENSG00000176597",8.61377370191439e-06,0.114680474318107,5,0,-0.678990066350587,0.833333333333333,0.5
"ENSG00000144560",1.55256939372065e-11,1,6,0,0.678571167298344,1,1
"ENSG00000065883",8.12272401872614e-05,0.524293455688321,4,0,-0.673200198425392,0.833333333333333,0.666666666666667
"ENSG00000131746",0.0225598941433968,0.00999687008274913,3,1,0.668421431729494,0.833333333333333,0.666666666666667
"ENSG00000163399",2.01957461705813e-15,8.36184313281313e-12,6,1,-0.668026775916638,1,1
"ENSG00000188603",2.23450764192435e-14,1,5,0,0.666669868314414,1,0.833333333333333
"ENSG00000085511",0.00022659111921195,1,4,0,-0.665405933579099,0.833333333333333,0.5
"ENSG00000047457",0.000285042848358939,1,4,0,-0.66501489258493,1,0.833333333333333
"ENSG00000179152",0.00329294931790948,0.00468792804509276,4,1,0.663084871170657,0.833333333333333,0.833333333333333
"ENSG00000198954",0.0143160102603899,0.00894694103368885,3,1,0.662538768616125,0.833333333333333,0.666666666666667
"ENSG00000147454",0.00387100085064889,1,3,0,0.660964363139889,1,0.833333333333333
"ENSG00000183734",0.00037059073128844,1,4,0,0.660274230502599,1,0.666666666666667
"ENSG00000205336",0.000885230042550091,0.00262907718284988,5,1,0.659090903368803,1,0.833333333333333
"ENSG00000166275",4.40034004273969e-17,1,4,0,-0.657219500068863,1,1
"ENSG00000105176",2.88974767549707e-07,2.7962282589647e-05,6,1,-0.656410327002581,0.833333333333333,0.666666666666667
"ENSG00000172775",0.0243516676557227,0.0117511708934957,5,1,0.650948073361481,1,0.666666666666667
"ENSG00000166803",5.49551569693701e-07,0.000108500595459652,4,1,-0.64956599805991,0.833333333333333,0.833333333333333
"ENSG00000113387",5.10030767966053e-18,6.70468076960721e-09,4,1,0.649311055668208,1,1
"ENSG00000104660",0.000197977648341829,0.000683377648631693,4,1,-0.648564093483682,1,0.833333333333333
"ENSG00000231721",0.0173780665410541,0.0316055243917054,5,1,0.64189315326893,1,0.666666666666667
"ENSG00000129084",0.00102482199981628,1,6,0,0.640025442196735,1,0.5
"ENSG00000132199",0.000309696762642006,1,6,0,0.639415935584178,1,0.5
"ENSG00000054611",1.57875491830469e-05,1,6,0,-0.639168536689558,1,0.666666666666667
"ENSG00000108590",0.0465367092324988,0.0451591624267129,3,1,0.637750309149499,0.833333333333333,0.5
"ENSG00000092108",4.15830036338568e-10,1,6,0,-0.636026586336577,1,0.833333333333333
"ENSG00000115520",9.03063036889434e-05,0.0751074253728744,3,0,0.635978911128323,1,1
"ENSG00000186395",2.76652921815857e-12,1,5,0,0.634865822212825,1,0.666666666666667
"ENSG00000145216",0.00132682651224568,1,5,0,0.631590051174401,0.833333333333333,0.666666666666667
"ENSG00000125520",0.000324361107899492,0.957380317885525,4,0,-0.630630866618498,1,0.833333333333333
"ENSG00000167523",0.0176708527960122,0.00465018108589619,5,1,0.630419194875209,1,0.666666666666667
