"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Cycling_basal_UK_72hpi_adult_Infected-Cycling_basal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000186468",0.0168712050767307,0.00575027916146277,5,1,0.387770081899579,1,1
"ENSG00000127837",0.000499804177528833,0.000825023920073192,3,1,-0.387108673120785,1,1
"ENSG00000176623",4.20910677103654e-06,0.12401982342009,9,0,0.387063632513206,1,1
"ENSG00000158850",0.0162454544849867,1,4,0,-0.386758985127176,1,0.833333333333333
"ENSG00000188313",1.17935024354413e-07,0.372673151893665,5,0,-0.386754388992007,1,1
"ENSG00000137098",0.0145161713615952,1,4,0,0.385517400229923,1,1
"ENSG00000187492",4.2449657814929e-05,0.0172202303611105,6,1,0.384615384615384,1,1
"ENSG00000113384",0.0320760132339131,0,2,2,0.384288759321736,1,1
"ENSG00000133835",0.0053338843547936,0.0118786680275063,4,1,-0.382477906373574,1,1
"ENSG00000178741",7.53007961264591e-13,0,2,2,-0.380997630735454,1,1
"ENSG00000147889",2.54331639650664e-55,1,9,0,0.379746828263048,1,1
"ENSG00000150753",3.45537127014451e-11,1.21300377859675e-05,3,1,-0.379160273418355,1,1
"ENSG00000115310",1.31812325578991e-17,0.0255314390286095,5,1,-0.377043566159804,1,1
"ENSG00000147789",0.0418639442212207,1,5,0,-0.376477064432136,1,0.5
"ENSG00000168961",0.00125239068676076,0.719614108780837,5,0,-0.37500002009043,1,1
"ENSG00000114107",0.000485718972821218,0.92492328181145,7,0,0.374999658566931,1,0.833333333333333
"ENSG00000131503",0.000180024762641961,1,7,0,0.374999423201697,0.833333333333333,0.833333333333333
"ENSG00000167996",4.16583770129736e-116,2.18128988110406e-96,3,1,-0.371608633182076,1,1
"ENSG00000160753",2.00311359458071e-05,1,8,0,-0.370740951649274,1,0.666666666666667
"ENSG00000006118",0.000387377268383963,1,6,0,0.370239216274607,1,1
"ENSG00000170291",0.00024991908183401,1,9,0,-0.369553937251757,1,0.833333333333333
"ENSG00000147654",0.00953232394068123,0.0381064516647015,4,1,0.36865071154154,1,1
"ENSG00000050820",0.0296118079087796,1,5,0,-0.367148944799618,1,0.833333333333333
"ENSG00000124380",0.0419781036926635,1,4,0,0.367079608083136,1,1
"ENSG00000119431",1.38284024137867e-07,1,4,0,0.365854087330121,1,1
"ENSG00000025708",3.64501764716115e-12,0.312297569839961,8,0,0.365670796386057,1,1
"ENSG00000196275",0.0482499519443663,1,4,0,0.364101783518607,0.833333333333333,0.833333333333333
"ENSG00000170788",0.0067275089286483,1,6,0,-0.363431279402714,1,0.666666666666667
"ENSG00000175324",8.97500213893515e-10,1,6,0,-0.360655737704917,1,1
"ENSG00000145014",0.00154548154746567,1,5,0,-0.359858734731225,1,0.833333333333333
"ENSG00000100664",0.00149093085394407,1,5,0,-0.358821631222049,1,1
"ENSG00000204580",7.44939415474447e-07,1,9,0,0.358313297149242,1,0.833333333333333
"ENSG00000013275",1.19795501968963e-06,0,2,2,-0.357897075122869,1,1
"ENSG00000101150",0.032442123118933,0.188567847414187,4,0,-0.357258252494603,1,1
"ENSG00000100722",0.0103651567990338,1,6,0,0.357147215073133,1,0.833333333333333
"ENSG00000161618",5.71989390565968e-05,1,5,0,0.354838701980647,1,1
"ENSG00000068745",4.51680481652351e-05,0.000813032342527639,4,1,-0.353148463558747,1,1
"ENSG00000149084",1.86429029415285e-06,0.234903294699449,5,0,-0.352234144918077,1,1
"ENSG00000115884",0.0480249586791704,0.031250221304747,4,1,0.351150738281055,1,1
"ENSG00000136261",1.56489708892167e-06,0.0353120313183452,6,1,0.350932252811175,1,1
"ENSG00000168476",0.000111937091494905,1,4,0,0.350179211287693,1,1
"ENSG00000117395",7.94243949734842e-15,1,6,0,0.348097183307891,1,1
"ENSG00000060339",0.0151122401256723,1,6,0,-0.346503404300133,1,0.5
"ENSG00000166164",1.18675499457141e-05,0.269708260620911,6,0,0.346250356776003,1,0.833333333333333
"ENSG00000107175",0.0108957389854673,0.0543083560760957,5,0,0.345172800929342,1,1
"ENSG00000138119",2.38928473702204e-05,1,4,0,-0.344684352610665,1,1
"ENSG00000169599",0.000647790350947019,1,5,0,0.344665316455156,1,1
"ENSG00000157110",0.0258839934531868,1,5,0,0.343147281205016,1,0.833333333333333
"ENSG00000122952",0.0465030315184159,1,5,0,0.342923177320965,1,0.833333333333333
"ENSG00000011009",2.66927591281378e-05,0.00340735986245178,5,1,0.341517511884448,1,0.833333333333333
"ENSG00000173581",0.0430845542828985,0.576264145205153,6,0,0.340351179537395,0.833333333333333,0.666666666666667
"ENSG00000116661",5.95692510690001e-05,1,3,0,0.340106774080155,1,1
"ENSG00000160813",0.000266873269648493,0.0739565239179323,7,0,0.339865023747979,1,1
"ENSG00000149547",0.0265009648555691,1,5,0,0.339584142217313,1,0.833333333333333
"ENSG00000169062",0.000163500448841202,0.130012537320226,8,0,0.338875847158441,1,0.833333333333333
"ENSG00000137648",7.45070979172606e-05,1,6,0,0.338449519921886,1,1
"ENSG00000158373",0.0299309798239483,0.0467691523952958,3,1,-0.337862553370121,1,0.833333333333333
"ENSG00000110880",0.0171942752506848,1,6,0,0.336172919386892,1,0.666666666666667
"ENSG00000147642",0.0127736703419498,1,7,0,0.334980892041675,1,0.5
"ENSG00000108604",0.0271825679322679,0.505827345389872,3,0,-0.334602317681476,1,1
"ENSG00000130640",1.32648648426608e-06,1,8,0,0.333968535422026,1,1
"ENSG00000133226",8.0751863292216e-09,0.080866492528307,7,0,-0.333788259505976,1,1
"ENSG00000034152",0.0124660276157709,0.0144690340120428,3,1,-0.333453746029692,1,1
"ENSG00000100429",0.0339207519236993,1,5,0,0.333333333333374,1,0.833333333333333
"ENSG00000100796",9.73224362619845e-05,1,10,0,0.333333250797135,1,0.833333333333333
"ENSG00000105856",0.000740670295007207,0.153954220566965,5,0,0.333333037957604,1,1
"ENSG00000088836",0.0108950674261358,1,7,0,0.333331431133945,1,0.833333333333333
"ENSG00000162144",0.0353977025481024,1,4,0,-0.331895902091063,1,1
"ENSG00000127125",9.89647709845136e-07,2.78764866748601e-05,6,2,-0.329838041968673,1,1
"ENSG00000148334",3.2873928494062e-06,1,4,0,0.328848320701275,1,1
"ENSG00000270647",1.28785415648432e-07,0.170176186556644,6,0,0.328246360481603,1,1
"ENSG00000166145",2.76056316005721e-13,0.508234198475336,7,0,0.327586226557197,1,1
"ENSG00000166979",0.0015693108202775,0.267977223035929,6,0,-0.326238818104149,1,0.666666666666667
"ENSG00000136527",0.000192546129486242,1,7,0,-0.324999572336992,1,1
"ENSG00000124596",8.03891116555065e-06,1,8,0,-0.324798853086201,1,0.666666666666667
"ENSG00000067836",0.0121453257560692,0.0106436714535716,4,1,-0.324696874647622,1,1
"ENSG00000175354",3.86981526350354e-10,1,11,0,-0.3240698182042,1,1
"ENSG00000139722",5.41481272112892e-05,8.51054534073028e-05,4,1,0.323117108711178,1,1
"ENSG00000146282",2.59218538078555e-05,1,5,0,0.32258064516884,1,1
"ENSG00000145191",0.0222886742774649,0.229572820823973,4,0,0.322014685271794,1,1
"ENSG00000172062",0.0296585892900142,1,4,0,-0.321593669228391,1,1
"ENSG00000088448",0.0346057283993808,1,5,0,0.321211487715969,1,1
"ENSG00000186960",0.0163486645930781,1,5,0,-0.320475628591754,1,0.666666666666667
"ENSG00000160752",7.74616337664972e-16,1,7,0,0.31944793629175,1,1
"ENSG00000119487",0.00351273906417463,1,5,0,-0.319347963637329,1,0.833333333333333
"ENSG00000163597",7.14213259745717e-09,0.0109725184165359,6,1,-0.318840585758531,1,1
"ENSG00000163932",0.00457920458174032,1,7,0,0.318181680839355,1,1
"ENSG00000171720",0.000691650435260415,1,6,0,0.31814723014171,1,1
"ENSG00000068120",4.93177166345563e-05,1,6,0,0.317229548555233,1,1
"ENSG00000221978",0.0108950674261358,0.252084507120423,7,0,-0.316316231518892,1,1
"ENSG00000197446",1.1585137565141e-08,0.633221557843768,8,0,0.315612558942217,1,1
"ENSG00000144560",1.14763946113485e-05,1,7,0,0.313717605644107,1,1
"ENSG00000167136",1.07010234980065e-05,0.0129839141048306,3,1,0.31314020275399,1,1
"ENSG00000127314",2.08431510798744e-16,0.000350335435247786,6,1,-0.312420798786932,1,1
"ENSG00000105698",0.0377189097433045,1,5,0,-0.312377537031251,1,1
"ENSG00000183844",0.0012891482429007,0.0615353942894742,4,0,-0.312169607588964,1,1
"ENSG00000131236",4.94300483025335e-15,1,7,0,0.312158646173749,1,1
"ENSG00000204344",0.00348926153959786,1,4,0,0.311444754659468,0.833333333333333,0.833333333333333
"ENSG00000117616",0.000234411217547393,0.259306317495497,8,0,-0.30952378767933,1,1
"ENSG00000185650",0.00129886504391331,0.385755711353617,4,0,-0.307768801191251,1,1
"ENSG00000065357",0.02114043906416,1,8,0,0.307691921671732,1,0.833333333333333
"ENSG00000116212",0.00251276118107829,0.0204125528291924,7,1,-0.307622478829498,1,1
"ENSG00000076554",1.1033883371025e-10,0.0298047556529771,6,1,-0.307205987796197,1,1
"ENSG00000173575",0.00860528127691338,1,4,0,0.306710585229699,1,1
"ENSG00000239467",0.0130953491614149,1,6,0,0.306272159503949,1,0.666666666666667
"ENSG00000108384",0.000136281122192328,1,5,0,0.305724697375837,1,1
"ENSG00000120742",1.67954633417346e-05,0.149634134573989,5,0,0.305530982832717,1,1
"ENSG00000089127",0.000125532019552287,0.240261530761536,7,0,0.305298063747186,1,1
"ENSG00000144061",0.0261753500804562,1,5,0,0.304347843252676,1,1
"ENSG00000137767",1.69999583114346e-07,1,6,0,0.304347662374646,1,1
"ENSG00000124802",0.0239381258973316,0,2,2,-0.302538969077934,1,1
"ENSG00000132463",0.00122551195680137,1,8,0,-0.300938980505407,1,1
"ENSG00000177963",0.0241146439743623,0.105345202891011,4,0,0.298998068374366,1,0.833333333333333
"ENSG00000129534",6.41217682474692e-05,1,10,0,-0.298938792814749,1,0.833333333333333
"ENSG00000168000",0.000347470173417488,0.00418481871531501,5,1,0.298697430515313,1,1
"ENSG00000170545",0.000241591099030515,1,4,0,-0.297952141243454,1,1
"ENSG00000068438",0.0092975717031159,1,4,0,0.296278607591045,1,0.833333333333333
"ENSG00000126005",0.00301078061296281,0.116726404998273,4,0,-0.295615442526707,1,1
"ENSG00000177200",1.94370606660934e-09,1,12,0,-0.295454568370103,1,1
