"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Cycling_basal_UK_72hpi_adult_Infected-Cycling_basal_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000104964"	"ENSG00000104964"	6.88715303966572e-13	0.00184167018091016	6	1	-0.201496198531745	1	1
"ENSG00000148180"	"ENSG00000148180"	0.0240557769701847	0.00185669407607414	6	1	-0.183836307464443	1	1
"ENSG00000067182"	"ENSG00000067182"	1.52301019410218e-07	0.0020897415517239	3	1	0.536621130078196	1	0.833333333333333
"ENSG00000051620"	"ENSG00000051620"	0.0119104575619386	0.00209612044226842	3	2	0.244208378374869	1	1
"ENSG00000032389"	"ENSG00000032389"	0.005624564198545	0.00217863751577244	4	1	0.420056485194758	1	1
"ENSG00000087460"	"ENSG00000087460"	6.56921666246962e-18	0.00222324176902675	11	1	-0.241348584495202	1	1
"ENSG00000213676"	"ENSG00000213676"	0.0139942691129873	0.00230488634689114	3	1	0.581629585294118	1	1
"ENSG00000006625"	"ENSG00000006625"	0.0157966052733477	0.00283111539867864	3	1	0.214341825246121	1	1
"ENSG00000106617"	"ENSG00000106617"	0.00010272213349295	0.00294170958407669	4	1	-0.708359423695717	1	0.666666666666667
"ENSG00000099849"	"ENSG00000099849"	6.1937072330671e-06	0.00300156248831225	7	1	0.399661976984446	1	1
"ENSG00000153113"	"ENSG00000153113"	1.87613456838288e-05	0.00326199336919835	13	1	-0.273099538641997	1	0.833333333333333
"ENSG00000011009"	"ENSG00000011009"	2.66927591281378e-05	0.00340735986245178	5	1	0.341517511884448	1	0.833333333333333
"ENSG00000173171"	"ENSG00000173171"	0.0276291416386491	0.00388202373116062	4	1	-0.518400588354027	1	1
"ENSG00000160789"	"ENSG00000160789"	0.0163842431969839	0.00409034137155464	3	2	-0.185884498991805	1	1
"ENSG00000168000"	"ENSG00000168000"	0.000347470173417488	0.00418481871531501	5	1	0.298697430515313	1	1
"ENSG00000144659"	"ENSG00000144659"	0.000517240222573277	0.00460949014286977	4	1	0.638801729128496	1	0.833333333333333
"ENSG00000109180"	"ENSG00000109180"	0.000111102814331826	0.0047644026430101	4	1	0.253245909310687	1	1
"ENSG00000092820"	"ENSG00000092820"	3.56434588517515e-06	0.00529598508293291	4	1	-0.592140564214342	1	1
"ENSG00000120533"	"ENSG00000120533"	5.65011590419069e-39	0.00554873795412503	7	1	0.585450619416335	1	1
"ENSG00000115963"	"ENSG00000115963"	0.0324844183726651	0.00564013415646946	4	1	0.254228394495395	1	1
"ENSG00000178935"	"ENSG00000178935"	0.0169225152889802	0.00567999952349227	4	1	0.442483002535086	1	1
"ENSG00000186468"	"ENSG00000186468"	0.0168712050767307	0.00575027916146277	5	1	0.387770081899579	1	1
"ENSG00000041988"	"ENSG00000041988"	0.00010272213349295	0.00595261517873405	3	1	-0.907069062725869	1	0.666666666666667
"ENSG00000128383"	"ENSG00000128383"	0.0194793276469311	0.00612285846671536	3	1	-0.766703873733159	0.666666666666667	0.666666666666667
"ENSG00000164924"	"ENSG00000164924"	1.47190872336459e-08	0.00739548670999317	8	1	0.39994108277374	1	1
"ENSG00000174428"	"ENSG00000174428"	0.0161909855516838	0.00750664451387799	4	1	0.647403381649286	0.833333333333333	0.666666666666667
"ENSG00000172830"	"ENSG00000172830"	0.0181104740007304	0.00756017369700082	4	1	-0.625672155120285	1	0.833333333333333
"ENSG00000125877"	"ENSG00000125877"	0.000164818543433105	0.00766760200798223	6	1	0.429262126610253	1	1
"ENSG00000108963"	"ENSG00000108963"	1.84782473411301e-06	0.00785339179567678	4	2	-0.711414217219415	1	0.833333333333333
"ENSG00000161921"	"ENSG00000161921"	1.24551720962196e-05	0.0087797580414043	4	1	-0.186633202826377	1	1
"ENSG00000131508"	"ENSG00000131508"	0.017604755070326	0.00891169342852655	4	2	0.410840322502704	1	1
"ENSG00000138777"	"ENSG00000138777"	0.0274615743537443	0.00899989650219084	3	1	-0.243314464472038	1	1
"ENSG00000136270"	"ENSG00000136270"	0.00957840391568713	0.009058948809334	4	1	-0.563710439736349	1	0.833333333333333
"ENSG00000107164"	"ENSG00000107164"	0.000106224791137368	0.0093386803396507	4	1	0.583294030172508	1	1
"ENSG00000129625"	"ENSG00000129625"	2.2010366597591e-09	0.00970974552256475	3	1	0.250695403954782	1	1
"ENSG00000106853"	"ENSG00000106853"	0.00590980559482673	0.0102756846414928	7	1	-0.212428876598027	1	1
"ENSG00000067836"	"ENSG00000067836"	0.0121453257560692	0.0106436714535716	4	1	-0.324696874647622	1	1
"ENSG00000142599"	"ENSG00000142599"	0.0108361871403254	0.0109205442461343	4	1	-0.395476281860215	1	1
"ENSG00000163597"	"ENSG00000163597"	7.14213259745717e-09	0.0109725184165359	6	1	-0.318840585758531	1	1
"ENSG00000133835"	"ENSG00000133835"	0.0053338843547936	0.0118786680275063	4	1	-0.382477906373574	1	1
"ENSG00000167136"	"ENSG00000167136"	1.07010234980065e-05	0.0129839141048306	3	1	0.31314020275399	1	1
"ENSG00000034152"	"ENSG00000034152"	0.0124660276157709	0.0144690340120428	3	1	-0.333453746029692	1	1
"ENSG00000114115"	"ENSG00000114115"	0.000537134538723825	0.0145423880030631	3	1	0.279615197281124	1	1
"ENSG00000129636"	"ENSG00000129636"	1.32648648426608e-06	0.0147326217796444	3	1	0.710214906291332	1	0.833333333333333
"ENSG00000142273"	"ENSG00000142273"	0.0149712558917349	0.0150604281696207	4	1	0.41364479993947	1	1
"ENSG00000187492"	"ENSG00000187492"	4.2449657814929e-05	0.0172202303611105	6	1	0.384615384615384	1	1
"ENSG00000215301"	"ENSG00000215301"	0.00492039909347848	0.01737580533753	7	1	-0.460739070223263	1	0.833333333333333
"ENSG00000133142"	"ENSG00000133142"	7.8843534351657e-07	0.0178611715030331	7	1	0.241912069593841	1	1
"ENSG00000185049"	"ENSG00000185049"	0.0256277556932435	0.018592909895482	3	1	-0.670084404965846	1	0.833333333333333
"ENSG00000070731"	"ENSG00000070731"	0.0186184088349364	0.0192234079925175	5	1	-0.401476563436536	1	1
